window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2020-09-01_2020-11-30,HRES,1 days,0,399.36775110267666,45.99929990955101,44
2020-09-01_2020-11-30,HRES,1 days,1,369.05401127082814,45.38520176711925,50
2020-09-01_2020-11-30,HRES,1 days,2,375.10283373742783,45.35456629530379,49
2020-09-01_2020-11-30,HRES,1 days,3,378.1213588907831,45.35406973498024,36
2020-09-01_2020-11-30,HRES,3 days,0,403.8085190845297,130.27136226656728,44
2020-09-01_2020-11-30,HRES,3 days,1,373.42608660955716,136.47393784940286,50
2020-09-01_2020-11-30,HRES,3 days,2,379.02739087494876,135.85425543714646,45
2020-09-01_2020-11-30,HRES,3 days,3,382.30061106901826,133.02143811490896,36
2020-09-01_2020-11-30,HRES,5 days,0,433.9009133855701,277.45442803120494,44
2020-09-01_2020-11-30,HRES,5 days,1,412.0643397326327,313.56467435247583,50
2020-09-01_2020-11-30,HRES,5 days,2,415.10602987205385,304.43066351238963,41
2020-09-01_2020-11-30,HRES,5 days,3,417.6968411290916,288.4576074046379,36
2020-09-01_2020-11-30,HRES,7 days,0,510.96409655647204,476.4146055627673,44
2020-09-01_2020-11-30,HRES,7 days,1,513.3945559762418,516.3442347452644,50
2020-09-01_2020-11-30,HRES,7 days,2,527.8347102004574,542.6043275489717,37
2020-09-01_2020-11-30,HRES,7 days,3,511.4918186379864,500.14626809279645,36
2020-09-01_2020-11-30,GraphCast,1 days,0,399.0254739569289,39.793375245553634,44
2020-09-01_2020-11-30,GraphCast,1 days,1,368.01113648363275,39.13154066673087,50
2020-09-01_2020-11-30,GraphCast,1 days,2,373.8212162983167,39.56528706619584,49
2020-09-01_2020-11-30,GraphCast,1 days,3,377.4593921217439,38.43399345633241,36
2020-09-01_2020-11-30,GraphCast,3 days,0,383.40742204361635,118.33999622796142,44
2020-09-01_2020-11-30,GraphCast,3 days,1,356.1221696760861,121.18399117442004,50
2020-09-01_2020-11-30,GraphCast,3 days,2,359.51834642753073,121.5862737824292,45
2020-09-01_2020-11-30,GraphCast,3 days,3,365.19991206547115,119.31943758716862,36
2020-09-01_2020-11-30,GraphCast,5 days,0,382.20542636517877,246.50025678902466,44
2020-09-01_2020-11-30,GraphCast,5 days,1,357.7184041171458,273.41449917724333,50
2020-09-01_2020-11-30,GraphCast,5 days,2,363.82535358923684,267.1773014474275,41
2020-09-01_2020-11-30,GraphCast,5 days,3,367.58536328256275,255.78356111551824,36
2020-09-01_2020-11-30,GraphCast,7 days,0,408.46772314458343,433.29630821114716,44
2020-09-01_2020-11-30,GraphCast,7 days,1,402.05807151469577,451.26055410310795,50
2020-09-01_2020-11-30,GraphCast,7 days,2,406.4207063876087,454.79800508807557,37
2020-09-01_2020-11-30,GraphCast,7 days,3,391.6715855312961,452.09586621990087,36
2020-09-01_2020-11-30,NeuralGCM,1 days,0,397.9283521983049,38.014622110148,44
2020-09-01_2020-11-30,NeuralGCM,1 days,1,367.32200745003195,37.441217862014184,50
2020-09-01_2020-11-30,NeuralGCM,1 days,2,373.15310357933396,37.67815518216594,49
2020-09-01_2020-11-30,NeuralGCM,1 days,3,376.276323323842,36.61934176760047,36
2020-09-01_2020-11-30,NeuralGCM,3 days,0,394.0391401799929,112.19695779988497,44
2020-09-01_2020-11-30,NeuralGCM,3 days,1,368.2721309892628,114.22807182928436,50
2020-09-01_2020-11-30,NeuralGCM,3 days,2,370.47895671372373,111.39968577679358,45
2020-09-01_2020-11-30,NeuralGCM,3 days,3,375.42620143824075,110.86169678996434,36
2020-09-01_2020-11-30,NeuralGCM,5 days,0,412.21051742893945,244.87685280511488,44
2020-09-01_2020-11-30,NeuralGCM,5 days,1,390.7398297588622,270.8178943665185,50
2020-09-01_2020-11-30,NeuralGCM,5 days,2,387.42134686543096,250.10941758575112,41
2020-09-01_2020-11-30,NeuralGCM,5 days,3,399.484185992874,248.09943757158783,36
2020-09-01_2020-11-30,NeuralGCM,7 days,0,472.6854530195866,436.41622433927154,44
2020-09-01_2020-11-30,NeuralGCM,7 days,1,471.0160925503068,476.0152336787823,50
2020-09-01_2020-11-30,NeuralGCM,7 days,2,464.5681236567104,455.2388998782355,37
2020-09-01_2020-11-30,NeuralGCM,7 days,3,457.32675065955897,457.8615176964361,36
