x1.25,x1.5,x2.0,window,model,curve
3.0,,,2020-09-01_2020-11-30,HRES,lagged_growth
1.0,1.0,1.0,2020-09-01_2020-11-30,HRES,forecast_error
,,,2020-09-01_2020-11-30,GraphCast,lagged_growth
1.0,1.0,1.0,2020-09-01_2020-11-30,GraphCast,forecast_error
,,,2020-09-01_2020-11-30,NeuralGCM,lagged_growth
1.0,1.0,1.0,2020-09-01_2020-11-30,NeuralGCM,forecast_error
