hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
69,2,0,111,0.971830985915493,0.0,0.971830985915493,0.971830985915493,71,69,2021-03-01_2021-05-31,HRES,1 days,EuroAtlantic
17,0,2,163,1.0,0.10526315789473684,0.8947368421052632,1.1176470588235294,17,19,2021-03-01_2021-05-31,HRES,1 days,Pacific
66,4,0,108,0.9428571428571428,0.0,0.9428571428571428,0.9428571428571428,70,66,2021-03-01_2021-05-31,HRES,3 days,EuroAtlantic
16,1,3,158,0.9411764705882353,0.15789473684210525,0.8,1.1176470588235294,17,19,2021-03-01_2021-05-31,HRES,3 days,Pacific
64,6,4,100,0.9142857142857143,0.058823529411764705,0.8648648648648649,0.9714285714285714,70,68,2021-03-01_2021-05-31,HRES,5 days,EuroAtlantic
14,3,6,151,0.8235294117647058,0.3,0.6086956521739131,1.1764705882352942,17,20,2021-03-01_2021-05-31,HRES,5 days,Pacific
58,12,7,93,0.8285714285714286,0.1076923076923077,0.7532467532467533,0.9285714285714286,70,65,2021-03-01_2021-05-31,HRES,7 days,EuroAtlantic
13,4,15,138,0.7647058823529411,0.5357142857142857,0.40625,1.6470588235294117,17,28,2021-03-01_2021-05-31,HRES,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,GraphCast,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,GraphCast,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,GraphCast,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,GraphCast,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,GraphCast,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,GraphCast,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,GraphCast,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,GraphCast,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,NeuralGCM,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,NeuralGCM,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,NeuralGCM,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,NeuralGCM,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,NeuralGCM,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,NeuralGCM,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,NeuralGCM,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-03-01_2021-05-31,NeuralGCM,7 days,Pacific
