window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2021-03-01_2021-05-31,HRES,1 days,47.06763223521905,46.80302542695185,80,102
2021-03-01_2021-05-31,HRES,3 days,146.5841756364074,145.47059883472426,79,99
2021-03-01_2021-05-31,HRES,5 days,331.5888843065796,334.580421648761,79,95
2021-03-01_2021-05-31,HRES,7 days,559.7745158041612,574.7271523308287,79,91
2021-03-01_2021-05-31,GraphCast,1 days,,,0,0
2021-03-01_2021-05-31,GraphCast,3 days,,,0,0
2021-03-01_2021-05-31,GraphCast,5 days,,,0,0
2021-03-01_2021-05-31,GraphCast,7 days,,,0,0
2021-03-01_2021-05-31,NeuralGCM,1 days,,,0,0
2021-03-01_2021-05-31,NeuralGCM,3 days,,,0,0
2021-03-01_2021-05-31,NeuralGCM,5 days,,,0,0
2021-03-01_2021-05-31,NeuralGCM,7 days,,,0,0
