window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2020-01-01_2020-12-31,6,3,0,535,0.36543715846994534,0.6615074276924133
2020-01-01_2020-12-31,6,3,1,326,0.2226775956284153,0.6615074276924133
2020-01-01_2020-12-31,6,3,2,603,0.41188524590163933,0.6615074276924133
2020-01-01_2020-12-31,6,4,0,418,0.2855191256830601,0.6615074276924133
2020-01-01_2020-12-31,6,4,1,307,0.20969945355191258,0.6615074276924133
2020-01-01_2020-12-31,6,4,2,366,0.25,0.6615074276924133
2020-01-01_2020-12-31,6,4,3,373,0.2547814207650273,0.6615074276924133
2020-01-01_2020-12-31,6,5,0,275,0.1878415300546448,0.6615074276924133
2020-01-01_2020-12-31,6,5,1,307,0.20969945355191258,0.6615074276924133
2020-01-01_2020-12-31,6,5,2,371,0.25341530054644806,0.6615074276924133
2020-01-01_2020-12-31,6,5,3,154,0.1051912568306011,0.6615074276924133
2020-01-01_2020-12-31,6,5,4,357,0.24385245901639344,0.6615074276924133
2020-01-01_2020-12-31,6,6,0,304,0.20765027322404372,0.6615074276924133
2020-01-01_2020-12-31,6,6,1,229,0.1564207650273224,0.6615074276924133
2020-01-01_2020-12-31,6,6,2,167,0.11407103825136612,0.6615074276924133
2020-01-01_2020-12-31,6,6,3,192,0.13114754098360656,0.6615074276924133
2020-01-01_2020-12-31,6,6,4,205,0.14002732240437157,0.6615074276924133
2020-01-01_2020-12-31,6,6,5,367,0.2506830601092896,0.6615074276924133
2020-01-01_2020-12-31,8,3,0,602,0.41120218579234974,0.6961265206336975
2020-01-01_2020-12-31,8,3,1,541,0.36953551912568305,0.6961265206336975
2020-01-01_2020-12-31,8,3,2,321,0.2192622950819672,0.6961265206336975
2020-01-01_2020-12-31,8,4,0,307,0.20969945355191258,0.6961265206336975
2020-01-01_2020-12-31,8,4,1,416,0.28415300546448086,0.6961265206336975
2020-01-01_2020-12-31,8,4,2,370,0.2527322404371585,0.6961265206336975
2020-01-01_2020-12-31,8,4,3,371,0.25341530054644806,0.6961265206336975
2020-01-01_2020-12-31,8,5,0,374,0.25546448087431695,0.6961265206336975
2020-01-01_2020-12-31,8,5,1,307,0.20969945355191258,0.6961265206336975
2020-01-01_2020-12-31,8,5,2,365,0.24931693989071038,0.6961265206336975
2020-01-01_2020-12-31,8,5,3,234,0.1598360655737705,0.6961265206336975
2020-01-01_2020-12-31,8,5,4,184,0.12568306010928962,0.6961265206336975
2020-01-01_2020-12-31,8,6,0,217,0.148224043715847,0.6961265206336975
2020-01-01_2020-12-31,8,6,1,365,0.24931693989071038,0.6961265206336975
2020-01-01_2020-12-31,8,6,2,194,0.1325136612021858,0.6961265206336975
2020-01-01_2020-12-31,8,6,3,202,0.13797814207650272,0.6961265206336975
2020-01-01_2020-12-31,8,6,4,305,0.20833333333333334,0.6961265206336975
2020-01-01_2020-12-31,8,6,5,181,0.12363387978142076,0.6961265206336975
2020-01-01_2020-12-31,10,3,0,603,0.41188524590163933,0.7261462211608887
2020-01-01_2020-12-31,10,3,1,323,0.22062841530054644,0.7261462211608887
2020-01-01_2020-12-31,10,3,2,538,0.3674863387978142,0.7261462211608887
2020-01-01_2020-12-31,10,4,0,369,0.2520491803278688,0.7261462211608887
2020-01-01_2020-12-31,10,4,1,370,0.2527322404371585,0.7261462211608887
2020-01-01_2020-12-31,10,4,2,417,0.2848360655737705,0.7261462211608887
2020-01-01_2020-12-31,10,4,3,308,0.2103825136612022,0.7261462211608887
2020-01-01_2020-12-31,10,5,0,308,0.2103825136612022,0.7261462211608887
2020-01-01_2020-12-31,10,5,1,375,0.25614754098360654,0.7261462211608887
2020-01-01_2020-12-31,10,5,2,363,0.24795081967213115,0.7261462211608887
2020-01-01_2020-12-31,10,5,3,185,0.12636612021857924,0.7261462211608887
2020-01-01_2020-12-31,10,5,4,233,0.15915300546448088,0.7261462211608887
2020-01-01_2020-12-31,10,6,0,308,0.2103825136612022,0.7261462211608887
2020-01-01_2020-12-31,10,6,1,194,0.1325136612021858,0.7261462211608887
