window,model,lead,div_rmse_mean,vort_rmse_mean
2019-06-01_2019-08-31,HRES,1 days,6.517781192892832e-06,1.0852104691400052e-05
2019-06-01_2019-08-31,HRES,3 days,8.541951624393723e-06,1.8907857749420916e-05
2019-06-01_2019-08-31,HRES,5 days,9.782544224958482e-06,2.5092650155246117e-05
2019-06-01_2019-08-31,HRES,7 days,1.0530980138886947e-05,2.894723249279054e-05
2019-06-01_2019-08-31,GraphCast,1 days,,
2019-06-01_2019-08-31,GraphCast,3 days,,
2019-06-01_2019-08-31,GraphCast,5 days,,
2019-06-01_2019-08-31,GraphCast,7 days,,
2019-06-01_2019-08-31,NeuralGCM,1 days,,
2019-06-01_2019-08-31,NeuralGCM,3 days,,
2019-06-01_2019-08-31,NeuralGCM,5 days,,
2019-06-01_2019-08-31,NeuralGCM,7 days,,
