window,model,lead,div_rmse_mean,vort_rmse_mean
2018-01-01_2018-12-31,HRES,1 days,6.351719822536834e-06,1.0500702215962773e-05
2018-01-01_2018-12-31,HRES,3 days,8.383246708085658e-06,1.8384193311390565e-05
2018-01-01_2018-12-31,HRES,5 days,9.701392957820825e-06,2.464171023519296e-05
2018-01-01_2018-12-31,HRES,7 days,1.055955512222661e-05,2.8664309949883242e-05
2018-01-01_2018-12-31,GraphCast,1 days,,
2018-01-01_2018-12-31,GraphCast,3 days,,
2018-01-01_2018-12-31,GraphCast,5 days,,
2018-01-01_2018-12-31,GraphCast,7 days,,
2018-01-01_2018-12-31,NeuralGCM,1 days,,
2018-01-01_2018-12-31,NeuralGCM,3 days,,
2018-01-01_2018-12-31,NeuralGCM,5 days,,
2018-01-01_2018-12-31,NeuralGCM,7 days,,
