window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2020-06-01_2020-08-31,z500,HRES,1 days,60.5,1.011936524035885,2226.9652332600326
2020-06-01_2020-08-31,z500,HRES,1 days,61.5,1.057278546328435,1830.5070555614423
2020-06-01_2020-08-31,z500,HRES,1 days,62.5,1.0541902448249583,1763.876981191546
2020-06-01_2020-08-31,z500,HRES,1 days,63.5,1.056760634119606,1717.129884788263
2020-06-01_2020-08-31,z500,HRES,1 days,64.5,1.0726645512256796,1693.6374565324459
2020-06-01_2020-08-31,z500,HRES,1 days,65.5,1.0658137089397097,1633.8939445574158
2020-06-01_2020-08-31,z500,HRES,1 days,66.5,1.0402529525498818,1606.9779436914234
2020-06-01_2020-08-31,z500,HRES,1 days,67.5,1.0419560359537432,1555.8822342369997
2020-06-01_2020-08-31,z500,HRES,1 days,68.5,1.0716951777871657,1530.8953103603978
2020-06-01_2020-08-31,z500,HRES,1 days,69.5,1.0450802381008628,1496.4470241752585
2020-06-01_2020-08-31,z500,HRES,1 days,70.5,1.057603137645578,1447.0678494294452
2020-06-01_2020-08-31,z500,HRES,1 days,71.5,1.0521787689044941,1439.1383942183325
2020-06-01_2020-08-31,z500,HRES,1 days,72.5,1.0640181596147757,1391.1510792112151
2020-06-01_2020-08-31,z500,HRES,1 days,73.5,1.0598743298497257,1368.8394975443698
2020-06-01_2020-08-31,z500,HRES,1 days,74.5,1.042701910240372,1331.3253359568707
2020-06-01_2020-08-31,z500,HRES,1 days,75.5,1.0644833455101965,1297.1217388723585
2020-06-01_2020-08-31,z500,HRES,1 days,76.5,1.0603182110716922,1277.0002903919112
2020-06-01_2020-08-31,z500,HRES,1 days,77.5,1.0629225787339076,1224.2581567530813
2020-06-01_2020-08-31,z500,HRES,1 days,78.5,1.0620727489845563,1213.9699406750958
2020-06-01_2020-08-31,z500,HRES,1 days,79.5,1.086442187801513,1172.603455550919
2020-06-01_2020-08-31,z500,HRES,1 days,80.5,1.0642396294413021,1166.7498522938567
2020-06-01_2020-08-31,z500,HRES,1 days,81.5,1.0541846879078551,1141.537222961312
2020-06-01_2020-08-31,z500,HRES,1 days,82.5,1.078039606136624,1106.7790771393093
2020-06-01_2020-08-31,z500,HRES,1 days,83.5,1.0735659309916794,1090.3515802657162
2020-06-01_2020-08-31,z500,HRES,1 days,84.5,1.102452819288834,1062.3086346239397
2020-06-01_2020-08-31,z500,HRES,1 days,85.5,1.0853339390467076,1041.8036257465865
2020-06-01_2020-08-31,z500,HRES,1 days,86.5,1.082094433590294,1023.4020000194719
2020-06-01_2020-08-31,z500,HRES,1 days,87.5,1.085142404263229,993.0606892757221
2020-06-01_2020-08-31,z500,HRES,1 days,88.5,1.0744951871940023,983.018412201212
2020-06-01_2020-08-31,z500,HRES,1 days,89.5,1.1146421070966142,953.1763032740571
2020-06-01_2020-08-31,z500,HRES,1 days,90.5,1.131715961578312,930.087663136548
2020-06-01_2020-08-31,z500,HRES,1 days,91.5,1.1114497042012805,934.2413850764312
2020-06-01_2020-08-31,z500,HRES,1 days,92.5,1.1219970557152001,907.7879882340983
2020-06-01_2020-08-31,z500,HRES,1 days,93.5,1.1319792965937632,887.6817649385295
2020-06-01_2020-08-31,z500,HRES,1 days,94.5,1.1116752614215015,871.4761676632734
2020-06-01_2020-08-31,z500,HRES,1 days,95.5,1.134383822011141,861.0989157088087
2020-06-01_2020-08-31,z500,HRES,1 days,96.5,1.1350840618346736,845.4541829622586
2020-06-01_2020-08-31,z500,HRES,1 days,97.5,1.1373786410269473,832.1152989146817
2020-06-01_2020-08-31,z500,HRES,1 days,98.5,1.1530319464093806,820.1645795979755
2020-06-01_2020-08-31,z500,HRES,1 days,99.5,1.1723216898427826,797.0306813807555
2020-06-01_2020-08-31,z500,HRES,1 days,100.5,1.1486442602660503,788.746669693105
2020-06-01_2020-08-31,z500,HRES,1 days,101.5,1.1719213490918499,778.3832563064402
2020-06-01_2020-08-31,z500,HRES,1 days,102.5,1.1832917903457896,764.0978659662908
2020-06-01_2020-08-31,z500,HRES,1 days,103.5,1.1932305418985674,758.6693711095894
