tier,figure_stem,png_path,pdf_path,caption
main,fig02_yearly_rmse_delta_heatmap,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig02_yearly_rmse_delta_heatmap.png,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig02_yearly_rmse_delta_heatmap.pdf,Year-by-year long-lead RMSE deltas against HRES for the AI systems.
main,fig03_seasonal_rmse_delta_heatmap,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig03_seasonal_rmse_delta_heatmap.png,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig03_seasonal_rmse_delta_heatmap.pdf,Seasonal mean long-lead RMSE deltas against HRES.
main,fig04_rank_stability_share,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig04_rank_stability_share.png,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig04_rank_stability_share.pdf,Share of yearly and seasonal windows in which the AI systems outperform HRES at long lead.
main,fig05_regime_balance_robustness,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig05_regime_balance_robustness.png,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig05_regime_balance_robustness.pdf,By-year and seasonal regime-balance diagnostics.
main,fig06_blocking_penalty_by_season,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig06_blocking_penalty_by_season.png,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig06_blocking_penalty_by_season.pdf,Seasonal mean blocked-flow penalty for each deterministic model.
main,fig07_leadwise_rmse_advantage,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig07_leadwise_rmse_advantage.png,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/main_figures/fig07_leadwise_rmse_advantage.pdf,Leadwise RMSE deltas against HRES with bootstrap confidence intervals across yearly windows.
appendix,figA1_denselead_z500_rmse,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/appendix_figures/figA1_denselead_z500_rmse.png,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/appendix_figures/figA1_denselead_z500_rmse.pdf,Dense-lead all-years Z500 RMSE if the common stores support it.
appendix,figA2_z500_delta_distribution,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/appendix_figures/figA2_z500_delta_distribution.png,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/appendix_figures/figA2_z500_delta_distribution.pdf,Distribution of long-lead Z500 RMSE deltas against HRES across yearly and seasonal windows.
appendix,figA3_regime_entropy,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/appendix_figures/figA3_regime_entropy.png,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/paper_96plus_selected/appendix_figures/figA3_regime_entropy.pdf,Regime-entropy diagnostics across years and seasons.
