workflow,window,model,lead,error
growth,2022-06-01_2022-08-31,GraphCast,1 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2022-06-01_2022-08-31,GraphCast,3 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2022-06-01_2022-08-31,GraphCast,5 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2022-06-01_2022-08-31,GraphCast,7 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2022-06-01_2022-08-31,NeuralGCM,1 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2022-06-01_2022-08-31,NeuralGCM,3 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2022-06-01_2022-08-31,NeuralGCM,5 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2022-06-01_2022-08-31,NeuralGCM,7 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
