window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2018-12-01_2019-02-28,HRES,1 days,0,368.8577509522581,50.009269809736146,53
2018-12-01_2019-02-28,HRES,1 days,1,380.7613021980356,49.06913677924462,40
2018-12-01_2019-02-28,HRES,1 days,2,367.90852331724494,48.804377185642714,27
2018-12-01_2019-02-28,HRES,1 days,3,371.35027265356774,50.7770676906194,57
2018-12-01_2019-02-28,HRES,3 days,0,374.58573872797,145.19773151833044,53
2018-12-01_2019-02-28,HRES,3 days,1,385.43849296580987,144.07432462424953,36
2018-12-01_2019-02-28,HRES,3 days,2,369.0457361931476,139.59256252661348,27
2018-12-01_2019-02-28,HRES,3 days,3,374.1149211572074,145.92729452478545,57
2018-12-01_2019-02-28,HRES,5 days,0,413.1239078449746,321.7193920664316,53
2018-12-01_2019-02-28,HRES,5 days,1,423.5264975089933,312.4323163998114,32
2018-12-01_2019-02-28,HRES,5 days,2,402.0970964122144,295.88813829959,27
2018-12-01_2019-02-28,HRES,5 days,3,410.18569619722393,303.4919665699812,57
2018-12-01_2019-02-28,HRES,7 days,0,515.1853308426458,527.3115570753858,53
2018-12-01_2019-02-28,HRES,7 days,1,519.9286928318876,530.5669626369341,28
2018-12-01_2019-02-28,HRES,7 days,2,483.4060523427961,510.6901096200083,27
2018-12-01_2019-02-28,HRES,7 days,3,505.27615007337806,498.6518157104662,57
