window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2020-01-01_2020-12-31,HRES,1 days,0,345.71399069901935,46.388320359472544,154
2020-01-01_2020-12-31,HRES,1 days,1,387.48430019271905,46.94542780407217,208
2020-01-01_2020-12-31,HRES,1 days,2,372.0667244174688,49.00696170257076,182
2020-01-01_2020-12-31,HRES,1 days,3,369.29546963684544,45.995123065138095,185
2020-01-01_2020-12-31,HRES,3 days,0,349.79723985551993,136.7672471460281,154
2020-01-01_2020-12-31,HRES,3 days,1,390.5075820250409,138.6782396006756,208
2020-01-01_2020-12-31,HRES,3 days,2,374.4625018136792,133.2537975775318,178
2020-01-01_2020-12-31,HRES,3 days,3,373.4145302500626,137.4911120777627,185
2020-01-01_2020-12-31,HRES,5 days,0,396.2057367208068,302.80868523033945,154
2020-01-01_2020-12-31,HRES,5 days,1,427.69824336319795,313.6987544791748,208
2020-01-01_2020-12-31,HRES,5 days,2,404.3407444307189,287.41670092110274,174
2020-01-01_2020-12-31,HRES,5 days,3,407.15904155363955,308.0092517725968,185
2020-01-01_2020-12-31,HRES,7 days,0,496.27342969907045,511.9514938215595,154
2020-01-01_2020-12-31,HRES,7 days,1,531.4202602711539,539.5594354465352,208
2020-01-01_2020-12-31,HRES,7 days,2,485.39711819965777,488.4424118327929,170
2020-01-01_2020-12-31,HRES,7 days,3,516.929441449544,527.9540169059608,185
2020-01-01_2020-12-31,GraphCast,1 days,0,345.5947781035887,40.728134797487535,154
2020-01-01_2020-12-31,GraphCast,1 days,1,387.74082294987,39.82982734123899,208
2020-01-01_2020-12-31,GraphCast,1 days,2,373.078606113195,39.12728339019676,182
2020-01-01_2020-12-31,GraphCast,1 days,3,369.2021526128281,39.33274976729845,185
2020-01-01_2020-12-31,GraphCast,3 days,0,334.1567710296315,127.01588109803532,154
2020-01-01_2020-12-31,GraphCast,3 days,1,373.2260255863895,125.88120963418116,208
2020-01-01_2020-12-31,GraphCast,3 days,2,361.715827210625,118.28514155977402,178
2020-01-01_2020-12-31,GraphCast,3 days,3,356.2510264296542,123.62603243664749,185
2020-01-01_2020-12-31,GraphCast,5 days,0,347.32816839548923,278.36581290694176,154
2020-01-01_2020-12-31,GraphCast,5 days,1,378.15172443222514,280.7170265091971,208
2020-01-01_2020-12-31,GraphCast,5 days,2,362.9664262901152,254.62138737669014,174
2020-01-01_2020-12-31,GraphCast,5 days,3,357.48299265290177,273.88041674252037,185
2020-01-01_2020-12-31,GraphCast,7 days,0,386.84420232183055,461.68245525426227,154
2020-01-01_2020-12-31,GraphCast,7 days,1,422.51641418096256,489.0648208815826,208
2020-01-01_2020-12-31,GraphCast,7 days,2,398.00745617008295,437.7612637078704,170
2020-01-01_2020-12-31,GraphCast,7 days,3,400.4228062527712,463.6854444863075,185
2020-01-01_2020-12-31,NeuralGCM,1 days,0,343.99712112731555,39.053105856483604,154
2020-01-01_2020-12-31,NeuralGCM,1 days,1,386.2239312527342,37.79863796816542,208
2020-01-01_2020-12-31,NeuralGCM,1 days,2,371.61391092826983,37.22687039543566,182
2020-01-01_2020-12-31,NeuralGCM,1 days,3,367.8005550127859,37.67976231367025,185
2020-01-01_2020-12-31,NeuralGCM,3 days,0,341.9996358437209,117.47959667491726,154
2020-01-01_2020-12-31,NeuralGCM,3 days,1,382.77558805448683,116.56995475387863,208
2020-01-01_2020-12-31,NeuralGCM,3 days,2,369.9649849290548,110.57557840763745,178
2020-01-01_2020-12-31,NeuralGCM,3 days,3,366.2365215799128,115.961439907381,185
2020-01-01_2020-12-31,NeuralGCM,5 days,0,369.708130280269,270.0009607507439,154
2020-01-01_2020-12-31,NeuralGCM,5 days,1,404.1525783969488,273.17850793983786,208
2020-01-01_2020-12-31,NeuralGCM,5 days,2,386.90220669756013,248.10520647484677,174
2020-01-01_2020-12-31,NeuralGCM,5 days,3,384.0764807671925,266.6863341579298,185
2020-01-01_2020-12-31,NeuralGCM,7 days,0,440.98010475344597,466.15295808137995,154
2020-01-01_2020-12-31,NeuralGCM,7 days,1,481.56317303900755,487.99655039694125,208
2020-01-01_2020-12-31,NeuralGCM,7 days,2,445.6563219924431,433.1100244542683,170
2020-01-01_2020-12-31,NeuralGCM,7 days,3,456.99251063109733,469.293101962748,185
