window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2019-03-01_2019-05-31,HRES,1 days,0.02,116,0.6373626373626373
2019-03-01_2019-05-31,HRES,1 days,0.05,104,0.5714285714285714
2019-03-01_2019-05-31,HRES,1 days,0.1,76,0.4175824175824176
2019-03-01_2019-05-31,HRES,1 days,0.2,35,0.19230769230769232
2019-03-01_2019-05-31,HRES,1 days,0.5,0,0.0
2019-03-01_2019-05-31,HRES,3 days,0.02,116,0.651685393258427
2019-03-01_2019-05-31,HRES,3 days,0.05,104,0.5842696629213483
2019-03-01_2019-05-31,HRES,3 days,0.1,76,0.42696629213483145
2019-03-01_2019-05-31,HRES,3 days,0.2,35,0.19662921348314608
2019-03-01_2019-05-31,HRES,3 days,0.5,0,0.0
2019-03-01_2019-05-31,HRES,5 days,0.02,115,0.6609195402298851
2019-03-01_2019-05-31,HRES,5 days,0.05,104,0.5977011494252874
2019-03-01_2019-05-31,HRES,5 days,0.1,76,0.4367816091954023
2019-03-01_2019-05-31,HRES,5 days,0.2,35,0.20114942528735633
2019-03-01_2019-05-31,HRES,5 days,0.5,0,0.0
2019-03-01_2019-05-31,HRES,7 days,0.02,113,0.6647058823529411
2019-03-01_2019-05-31,HRES,7 days,0.05,102,0.6
2019-03-01_2019-05-31,HRES,7 days,0.1,76,0.4470588235294118
2019-03-01_2019-05-31,HRES,7 days,0.2,35,0.20588235294117646
2019-03-01_2019-05-31,HRES,7 days,0.5,0,0.0
2019-03-01_2019-05-31,GraphCast,1 days,0.02,0,
2019-03-01_2019-05-31,GraphCast,1 days,0.05,0,
2019-03-01_2019-05-31,GraphCast,1 days,0.1,0,
2019-03-01_2019-05-31,GraphCast,1 days,0.2,0,
2019-03-01_2019-05-31,GraphCast,1 days,0.5,0,
2019-03-01_2019-05-31,GraphCast,3 days,0.02,0,
2019-03-01_2019-05-31,GraphCast,3 days,0.05,0,
2019-03-01_2019-05-31,GraphCast,3 days,0.1,0,
2019-03-01_2019-05-31,GraphCast,3 days,0.2,0,
2019-03-01_2019-05-31,GraphCast,3 days,0.5,0,
2019-03-01_2019-05-31,GraphCast,5 days,0.02,0,
2019-03-01_2019-05-31,GraphCast,5 days,0.05,0,
2019-03-01_2019-05-31,GraphCast,5 days,0.1,0,
2019-03-01_2019-05-31,GraphCast,5 days,0.2,0,
2019-03-01_2019-05-31,GraphCast,5 days,0.5,0,
2019-03-01_2019-05-31,GraphCast,7 days,0.02,0,
2019-03-01_2019-05-31,GraphCast,7 days,0.05,0,
2019-03-01_2019-05-31,GraphCast,7 days,0.1,0,
2019-03-01_2019-05-31,GraphCast,7 days,0.2,0,
2019-03-01_2019-05-31,GraphCast,7 days,0.5,0,
2019-03-01_2019-05-31,NeuralGCM,1 days,0.02,0,
2019-03-01_2019-05-31,NeuralGCM,1 days,0.05,0,
2019-03-01_2019-05-31,NeuralGCM,1 days,0.1,0,
2019-03-01_2019-05-31,NeuralGCM,1 days,0.2,0,
2019-03-01_2019-05-31,NeuralGCM,1 days,0.5,0,
2019-03-01_2019-05-31,NeuralGCM,3 days,0.02,0,
2019-03-01_2019-05-31,NeuralGCM,3 days,0.05,0,
2019-03-01_2019-05-31,NeuralGCM,3 days,0.1,0,
2019-03-01_2019-05-31,NeuralGCM,3 days,0.2,0,
2019-03-01_2019-05-31,NeuralGCM,3 days,0.5,0,
2019-03-01_2019-05-31,NeuralGCM,5 days,0.02,0,
2019-03-01_2019-05-31,NeuralGCM,5 days,0.05,0,
2019-03-01_2019-05-31,NeuralGCM,5 days,0.1,0,
2019-03-01_2019-05-31,NeuralGCM,5 days,0.2,0,
2019-03-01_2019-05-31,NeuralGCM,5 days,0.5,0,
2019-03-01_2019-05-31,NeuralGCM,7 days,0.02,0,
2019-03-01_2019-05-31,NeuralGCM,7 days,0.05,0,
2019-03-01_2019-05-31,NeuralGCM,7 days,0.1,0,
2019-03-01_2019-05-31,NeuralGCM,7 days,0.2,0,
2019-03-01_2019-05-31,NeuralGCM,7 days,0.5,0,
