window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2019-03-01_2019-05-31,HRES,1 days,50.90722206976796,50.20032106290298,76,106
2019-03-01_2019-05-31,HRES,3 days,147.80218398329288,148.2197358093518,76,102
2019-03-01_2019-05-31,HRES,5 days,329.7224045341071,316.6555269109509,76,98
2019-03-01_2019-05-31,HRES,7 days,540.748493420076,547.0206362910563,76,94
2019-03-01_2019-05-31,GraphCast,1 days,,,0,0
2019-03-01_2019-05-31,GraphCast,3 days,,,0,0
2019-03-01_2019-05-31,GraphCast,5 days,,,0,0
2019-03-01_2019-05-31,GraphCast,7 days,,,0,0
2019-03-01_2019-05-31,NeuralGCM,1 days,,,0,0
2019-03-01_2019-05-31,NeuralGCM,3 days,,,0,0
2019-03-01_2019-05-31,NeuralGCM,5 days,,,0,0
2019-03-01_2019-05-31,NeuralGCM,7 days,,,0,0
