window,model,lead,div_rmse_mean,vort_rmse_mean
2021-03-01_2021-05-31,HRES,1 days,6.263455062097525e-06,1.0056356726011882e-05
2021-03-01_2021-05-31,HRES,3 days,8.349608220405524e-06,1.798030167048601e-05
2021-03-01_2021-05-31,HRES,5 days,9.778653764470872e-06,2.45510827294168e-05
2021-03-01_2021-05-31,HRES,7 days,1.0695715862687276e-05,2.8810593781698524e-05
2021-03-01_2021-05-31,GraphCast,1 days,,
2021-03-01_2021-05-31,GraphCast,3 days,,
2021-03-01_2021-05-31,GraphCast,5 days,,
2021-03-01_2021-05-31,GraphCast,7 days,,
2021-03-01_2021-05-31,NeuralGCM,1 days,,
2021-03-01_2021-05-31,NeuralGCM,3 days,,
2021-03-01_2021-05-31,NeuralGCM,5 days,,
2021-03-01_2021-05-31,NeuralGCM,7 days,,
