window,model,lead,div_rmse_mean,vort_rmse_mean
2021-09-01_2021-11-30,HRES,1 days,6.239059878518345e-06,1.0139932253720337e-05
2021-09-01_2021-11-30,HRES,3 days,8.179865608628696e-06,1.7598114702401623e-05
2021-09-01_2021-11-30,HRES,5 days,9.519888470433277e-06,2.381634616033166e-05
2021-09-01_2021-11-30,HRES,7 days,1.0430730650211012e-05,2.8031547374690275e-05
2021-09-01_2021-11-30,GraphCast,1 days,,
2021-09-01_2021-11-30,GraphCast,3 days,,
2021-09-01_2021-11-30,GraphCast,5 days,,
2021-09-01_2021-11-30,GraphCast,7 days,,
2021-09-01_2021-11-30,NeuralGCM,1 days,,
2021-09-01_2021-11-30,NeuralGCM,3 days,,
2021-09-01_2021-11-30,NeuralGCM,5 days,,
2021-09-01_2021-11-30,NeuralGCM,7 days,,
