window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2020-06-01_2020-08-31,HRES,1 days,0,340.1071364338984,45.28123875311133,35
2020-06-01_2020-08-31,HRES,1 days,1,340.3681985916689,47.21982974185019,42
2020-06-01_2020-08-31,HRES,1 days,2,359.46369423835415,45.97446032705317,44
2020-06-01_2020-08-31,HRES,1 days,3,347.18254051574684,46.565644823964355,60
2020-06-01_2020-08-31,HRES,3 days,0,342.6835393315249,132.70252015882858,35
2020-06-01_2020-08-31,HRES,3 days,1,345.5392241699239,136.97291396297982,42
2020-06-01_2020-08-31,HRES,3 days,2,363.3360910647137,136.44596017420832,40
2020-06-01_2020-08-31,HRES,3 days,3,351.1775325473233,137.19231612319587,60
2020-06-01_2020-08-31,HRES,5 days,0,388.8935690920853,293.59946538582864,35
2020-06-01_2020-08-31,HRES,5 days,1,400.0072135963373,296.93707891040737,42
2020-06-01_2020-08-31,HRES,5 days,2,393.1567775633316,315.68608176709324,36
2020-06-01_2020-08-31,HRES,5 days,3,393.9291234238522,306.6450298757133,60
2020-06-01_2020-08-31,HRES,7 days,0,486.8161431798357,483.55616740327565,35
2020-06-01_2020-08-31,HRES,7 days,1,495.30470526995026,494.9609485669559,42
2020-06-01_2020-08-31,HRES,7 days,2,509.6633948461881,533.8730371200711,32
2020-06-01_2020-08-31,HRES,7 days,3,496.75765935359345,531.6095413664908,60
2020-06-01_2020-08-31,GraphCast,1 days,0,339.67865513483156,39.61954790864017,35
2020-06-01_2020-08-31,GraphCast,1 days,1,340.6006500848739,41.29419614678596,42
2020-06-01_2020-08-31,GraphCast,1 days,2,360.2914509837577,39.481951026918615,44
2020-06-01_2020-08-31,GraphCast,1 days,3,347.1916752451317,40.9425431771012,60
2020-06-01_2020-08-31,GraphCast,3 days,0,328.0260844126936,123.06844687236577,35
2020-06-01_2020-08-31,GraphCast,3 days,1,328.04276393286483,128.9786476994998,42
2020-06-01_2020-08-31,GraphCast,3 days,2,348.81701155133476,128.5066495954609,40
2020-06-01_2020-08-31,GraphCast,3 days,3,335.17711713487273,126.93273669413567,60
2020-06-01_2020-08-31,GraphCast,5 days,0,340.4577793295093,268.22947945995935,35
2020-06-01_2020-08-31,GraphCast,5 days,1,348.2974392748714,277.7212812859389,42
2020-06-01_2020-08-31,GraphCast,5 days,2,357.3425271606866,294.4324173004467,36
2020-06-01_2020-08-31,GraphCast,5 days,3,345.69305209443456,276.1820775150473,60
2020-06-01_2020-08-31,GraphCast,7 days,0,392.25637120690146,451.75651446048016,35
2020-06-01_2020-08-31,GraphCast,7 days,1,381.4071804164201,455.68057448679184,42
2020-06-01_2020-08-31,GraphCast,7 days,2,401.6672736016842,502.20716174775305,32
2020-06-01_2020-08-31,GraphCast,7 days,3,383.4155181948339,460.2215107376182,60
2020-06-01_2020-08-31,NeuralGCM,1 days,0,337.80001902334124,38.585229090000745,35
2020-06-01_2020-08-31,NeuralGCM,1 days,1,338.8635617316782,39.14288681879331,42
2020-06-01_2020-08-31,NeuralGCM,1 days,2,358.2102030931812,38.14064042342679,44
2020-06-01_2020-08-31,NeuralGCM,1 days,3,345.84974625462576,39.299526534458664,60
2020-06-01_2020-08-31,NeuralGCM,3 days,0,335.413265133665,116.49544736877483,35
2020-06-01_2020-08-31,NeuralGCM,3 days,1,335.95350510485343,119.6792775520378,42
2020-06-01_2020-08-31,NeuralGCM,3 days,2,356.5694474573621,119.56131990445418,40
2020-06-01_2020-08-31,NeuralGCM,3 days,3,343.5048064334358,115.2838864772504,60
2020-06-01_2020-08-31,NeuralGCM,5 days,0,362.04433071742824,260.36936330380223,35
2020-06-01_2020-08-31,NeuralGCM,5 days,1,370.4052480632695,285.1616147045031,42
2020-06-01_2020-08-31,NeuralGCM,5 days,2,380.1435291129349,283.250093688124,36
2020-06-01_2020-08-31,NeuralGCM,5 days,3,367.55031449414486,258.24327196726205,60
2020-06-01_2020-08-31,NeuralGCM,7 days,0,431.9174834807418,448.95002938612834,35
2020-06-01_2020-08-31,NeuralGCM,7 days,1,444.37181156346475,484.6838377189392,42
2020-06-01_2020-08-31,NeuralGCM,7 days,2,448.20771473106936,480.961307545664,32
2020-06-01_2020-08-31,NeuralGCM,7 days,3,437.78647905594454,450.13411504471327,60
