window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2021-09-01_2021-11-30,HRES,1 days,46.34423000695721,45.788724428078076,38,142
2021-09-01_2021-11-30,HRES,3 days,130.6499946750424,136.13400027311522,36,140
2021-09-01_2021-11-30,HRES,5 days,290.0930044626461,295.23991719181157,36,136
2021-09-01_2021-11-30,HRES,7 days,505.388448662796,504.47921640556467,36,132
2021-09-01_2021-11-30,GraphCast,1 days,,,0,0
2021-09-01_2021-11-30,GraphCast,3 days,,,0,0
2021-09-01_2021-11-30,GraphCast,5 days,,,0,0
2021-09-01_2021-11-30,GraphCast,7 days,,,0,0
2021-09-01_2021-11-30,NeuralGCM,1 days,,,0,0
2021-09-01_2021-11-30,NeuralGCM,3 days,,,0,0
2021-09-01_2021-11-30,NeuralGCM,5 days,,,0,0
2021-09-01_2021-11-30,NeuralGCM,7 days,,,0,0
