window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2021-09-01_2021-11-30,HRES,1 days,0.02,70,0.3888888888888889
2021-09-01_2021-11-30,HRES,1 days,0.05,55,0.3055555555555556
2021-09-01_2021-11-30,HRES,1 days,0.1,38,0.2111111111111111
2021-09-01_2021-11-30,HRES,1 days,0.2,13,0.07222222222222222
2021-09-01_2021-11-30,HRES,1 days,0.5,0,0.0
2021-09-01_2021-11-30,HRES,3 days,0.02,67,0.3806818181818182
2021-09-01_2021-11-30,HRES,3 days,0.05,53,0.30113636363636365
2021-09-01_2021-11-30,HRES,3 days,0.1,36,0.20454545454545456
2021-09-01_2021-11-30,HRES,3 days,0.2,13,0.07386363636363637
2021-09-01_2021-11-30,HRES,3 days,0.5,0,0.0
2021-09-01_2021-11-30,HRES,5 days,0.02,67,0.38953488372093026
2021-09-01_2021-11-30,HRES,5 days,0.05,53,0.3081395348837209
2021-09-01_2021-11-30,HRES,5 days,0.1,36,0.20930232558139536
2021-09-01_2021-11-30,HRES,5 days,0.2,13,0.0755813953488372
2021-09-01_2021-11-30,HRES,5 days,0.5,0,0.0
2021-09-01_2021-11-30,HRES,7 days,0.02,67,0.39880952380952384
2021-09-01_2021-11-30,HRES,7 days,0.05,53,0.31547619047619047
2021-09-01_2021-11-30,HRES,7 days,0.1,36,0.21428571428571427
2021-09-01_2021-11-30,HRES,7 days,0.2,13,0.07738095238095238
2021-09-01_2021-11-30,HRES,7 days,0.5,0,0.0
2021-09-01_2021-11-30,GraphCast,1 days,0.02,0,
2021-09-01_2021-11-30,GraphCast,1 days,0.05,0,
2021-09-01_2021-11-30,GraphCast,1 days,0.1,0,
2021-09-01_2021-11-30,GraphCast,1 days,0.2,0,
2021-09-01_2021-11-30,GraphCast,1 days,0.5,0,
2021-09-01_2021-11-30,GraphCast,3 days,0.02,0,
2021-09-01_2021-11-30,GraphCast,3 days,0.05,0,
2021-09-01_2021-11-30,GraphCast,3 days,0.1,0,
2021-09-01_2021-11-30,GraphCast,3 days,0.2,0,
2021-09-01_2021-11-30,GraphCast,3 days,0.5,0,
2021-09-01_2021-11-30,GraphCast,5 days,0.02,0,
2021-09-01_2021-11-30,GraphCast,5 days,0.05,0,
2021-09-01_2021-11-30,GraphCast,5 days,0.1,0,
2021-09-01_2021-11-30,GraphCast,5 days,0.2,0,
2021-09-01_2021-11-30,GraphCast,5 days,0.5,0,
2021-09-01_2021-11-30,GraphCast,7 days,0.02,0,
2021-09-01_2021-11-30,GraphCast,7 days,0.05,0,
2021-09-01_2021-11-30,GraphCast,7 days,0.1,0,
2021-09-01_2021-11-30,GraphCast,7 days,0.2,0,
2021-09-01_2021-11-30,GraphCast,7 days,0.5,0,
2021-09-01_2021-11-30,NeuralGCM,1 days,0.02,0,
2021-09-01_2021-11-30,NeuralGCM,1 days,0.05,0,
2021-09-01_2021-11-30,NeuralGCM,1 days,0.1,0,
2021-09-01_2021-11-30,NeuralGCM,1 days,0.2,0,
2021-09-01_2021-11-30,NeuralGCM,1 days,0.5,0,
2021-09-01_2021-11-30,NeuralGCM,3 days,0.02,0,
2021-09-01_2021-11-30,NeuralGCM,3 days,0.05,0,
2021-09-01_2021-11-30,NeuralGCM,3 days,0.1,0,
2021-09-01_2021-11-30,NeuralGCM,3 days,0.2,0,
2021-09-01_2021-11-30,NeuralGCM,3 days,0.5,0,
2021-09-01_2021-11-30,NeuralGCM,5 days,0.02,0,
2021-09-01_2021-11-30,NeuralGCM,5 days,0.05,0,
2021-09-01_2021-11-30,NeuralGCM,5 days,0.1,0,
2021-09-01_2021-11-30,NeuralGCM,5 days,0.2,0,
2021-09-01_2021-11-30,NeuralGCM,5 days,0.5,0,
2021-09-01_2021-11-30,NeuralGCM,7 days,0.02,0,
2021-09-01_2021-11-30,NeuralGCM,7 days,0.05,0,
2021-09-01_2021-11-30,NeuralGCM,7 days,0.1,0,
2021-09-01_2021-11-30,NeuralGCM,7 days,0.2,0,
2021-09-01_2021-11-30,NeuralGCM,7 days,0.5,0,
