window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2022-09-01_2022-11-30,HRES,1 days,0,377.44322077705147,46.34274421221111,48
2022-09-01_2022-11-30,HRES,1 days,1,397.6612475675569,47.14593743795622,42
2022-09-01_2022-11-30,HRES,1 days,2,375.277210045224,47.45287868644041,54
2022-09-01_2022-11-30,HRES,1 days,3,379.5120253575487,46.06240841589388,35
2022-09-01_2022-11-30,HRES,3 days,0,382.2139478621345,133.5889056917725,48
2022-09-01_2022-11-30,HRES,3 days,1,404.52119501874984,135.060929552257,42
2022-09-01_2022-11-30,HRES,3 days,2,373.56577942828716,143.70334064818027,50
2022-09-01_2022-11-30,HRES,3 days,3,384.34987000505623,136.63592267652453,35
2022-09-01_2022-11-30,HRES,5 days,0,416.5585618621626,294.24783375725434,48
2022-09-01_2022-11-30,HRES,5 days,1,436.6808173558083,303.55213240360615,42
2022-09-01_2022-11-30,HRES,5 days,2,399.48453865843624,327.58871684113757,46
2022-09-01_2022-11-30,HRES,5 days,3,417.57925507592574,305.5084846105445,35
2022-09-01_2022-11-30,HRES,7 days,0,509.7971386815052,512.9781752169341,48
2022-09-01_2022-11-30,HRES,7 days,1,537.909631749685,524.3170050901206,42
2022-09-01_2022-11-30,HRES,7 days,2,495.649227601862,547.3563528188787,42
2022-09-01_2022-11-30,HRES,7 days,3,535.5105575527613,517.9704448701319,35
