window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2020-03-01_2020-05-31,HRES,1 days,0,370.09387858576395,46.93757423927096,47
2020-03-01_2020-05-31,HRES,1 days,1,399.21057880749737,49.328222080990955,54
2020-03-01_2020-05-31,HRES,1 days,2,368.8540626051277,47.14481732337858,48
2020-03-01_2020-05-31,HRES,1 days,3,397.3518327837009,47.59942911103109,32
2020-03-01_2020-05-31,HRES,3 days,0,374.4174040128838,143.46712332067582,47
2020-03-01_2020-05-31,HRES,3 days,1,406.7129488038512,142.56080625567435,50
2020-03-01_2020-05-31,HRES,3 days,2,371.5538363933662,141.39296751061377,48
2020-03-01_2020-05-31,HRES,3 days,3,397.92557708979484,142.86988891304597,32
2020-03-01_2020-05-31,HRES,5 days,0,425.56932576372003,335.01453052890605,47
2020-03-01_2020-05-31,HRES,5 days,1,440.6756343040037,318.8007150879099,46
2020-03-01_2020-05-31,HRES,5 days,2,404.53951594159145,307.0477707647081,48
2020-03-01_2020-05-31,HRES,5 days,3,433.4150911536036,334.7605092555434,32
2020-03-01_2020-05-31,HRES,7 days,0,536.0723900142414,573.9559882505165,47
2020-03-01_2020-05-31,HRES,7 days,1,545.0886225678773,550.6389821161877,42
2020-03-01_2020-05-31,HRES,7 days,2,519.0799680673106,534.6635578370651,48
2020-03-01_2020-05-31,HRES,7 days,3,570.7755079400481,598.5765306794046,32
2020-03-01_2020-05-31,GraphCast,1 days,0,369.9764982950585,39.996662009207846,47
2020-03-01_2020-05-31,GraphCast,1 days,1,400.17195072944486,39.594959136301036,54
2020-03-01_2020-05-31,GraphCast,1 days,2,369.5926782549729,39.8991081349857,48
2020-03-01_2020-05-31,GraphCast,1 days,3,398.4204676715638,40.541584829541556,32
2020-03-01_2020-05-31,GraphCast,3 days,0,357.192704063072,128.20685266988556,47
2020-03-01_2020-05-31,GraphCast,3 days,1,388.3234925667527,123.7674732459646,50
2020-03-01_2020-05-31,GraphCast,3 days,2,356.2302229832526,125.03369887304954,48
2020-03-01_2020-05-31,GraphCast,3 days,3,381.6130887306655,139.7923671302596,32
2020-03-01_2020-05-31,GraphCast,5 days,0,368.891632186205,290.88122448094305,47
2020-03-01_2020-05-31,GraphCast,5 days,1,389.7630326114471,282.9588484391826,46
2020-03-01_2020-05-31,GraphCast,5 days,2,353.1076217950518,273.09895542407656,48
2020-03-01_2020-05-31,GraphCast,5 days,3,392.76706709012194,330.4808214782064,32
2020-03-01_2020-05-31,GraphCast,7 days,0,427.6764647676412,496.38369023348355,47
2020-03-01_2020-05-31,GraphCast,7 days,1,433.9632742994815,502.41718872158896,42
2020-03-01_2020-05-31,GraphCast,7 days,2,397.8125895309051,473.5018549023527,48
2020-03-01_2020-05-31,GraphCast,7 days,3,468.53870666924706,573.2960502037448,32
2020-03-01_2020-05-31,NeuralGCM,1 days,0,368.3285391606717,38.34786373619943,47
2020-03-01_2020-05-31,NeuralGCM,1 days,1,398.72843139623376,37.79458663652775,54
2020-03-01_2020-05-31,NeuralGCM,1 days,2,367.417833633321,38.05509543414737,48
2020-03-01_2020-05-31,NeuralGCM,1 days,3,396.10687115135255,38.112576957921135,32
2020-03-01_2020-05-31,NeuralGCM,3 days,0,366.62565161219214,119.01970624733417,47
2020-03-01_2020-05-31,NeuralGCM,3 days,1,397.6772486504059,114.5021303489196,50
2020-03-01_2020-05-31,NeuralGCM,3 days,2,364.3775814134451,119.81880399277956,48
2020-03-01_2020-05-31,NeuralGCM,3 days,3,389.70402806757687,128.8487904068038,32
2020-03-01_2020-05-31,NeuralGCM,5 days,0,392.25210942622937,287.5856642197649,47
2020-03-01_2020-05-31,NeuralGCM,5 days,1,414.20359739261363,273.61874197031227,46
2020-03-01_2020-05-31,NeuralGCM,5 days,2,379.45506695699004,271.2708820886954,48
2020-03-01_2020-05-31,NeuralGCM,5 days,3,414.11093251502587,319.6047365044875,32
2020-03-01_2020-05-31,NeuralGCM,7 days,0,489.7950898809457,506.3548276616772,47
2020-03-01_2020-05-31,NeuralGCM,7 days,1,487.00449695483593,499.62506919739485,42
2020-03-01_2020-05-31,NeuralGCM,7 days,2,448.2449783790583,478.2557690873982,48
2020-03-01_2020-05-31,NeuralGCM,7 days,3,504.1199927364006,556.536051411286,32
