window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2021-06-01_2021-08-31,HRES,1 days,EuroAtlantic,0.075,0.1875,0.2125,0.3875,182
2021-06-01_2021-08-31,HRES,1 days,Pacific,0.023076923076923078,0.0875,0.125,0.3,182
2021-06-01_2021-08-31,HRES,3 days,EuroAtlantic,0.07183988764044942,0.175,0.2,0.3875,178
2021-06-01_2021-08-31,HRES,3 days,Pacific,0.02296348314606742,0.09125000000000014,0.12875000000000014,0.3,178
2021-06-01_2021-08-31,HRES,5 days,EuroAtlantic,0.06910919540229886,0.175,0.2,0.3875,174
2021-06-01_2021-08-31,HRES,5 days,Pacific,0.021192528735632182,0.0875,0.13374999999999987,0.3,174
2021-06-01_2021-08-31,HRES,7 days,EuroAtlantic,0.06999999999999999,0.175,0.2,0.3875,170
2021-06-01_2021-08-31,HRES,7 days,Pacific,0.021691176470588235,0.0875,0.13874999999999957,0.3,170
2021-06-01_2021-08-31,GraphCast,1 days,EuroAtlantic,,,,,0
2021-06-01_2021-08-31,GraphCast,1 days,Pacific,,,,,0
2021-06-01_2021-08-31,GraphCast,3 days,EuroAtlantic,,,,,0
2021-06-01_2021-08-31,GraphCast,3 days,Pacific,,,,,0
2021-06-01_2021-08-31,GraphCast,5 days,EuroAtlantic,,,,,0
2021-06-01_2021-08-31,GraphCast,5 days,Pacific,,,,,0
2021-06-01_2021-08-31,GraphCast,7 days,EuroAtlantic,,,,,0
2021-06-01_2021-08-31,GraphCast,7 days,Pacific,,,,,0
2021-06-01_2021-08-31,NeuralGCM,1 days,EuroAtlantic,,,,,0
2021-06-01_2021-08-31,NeuralGCM,1 days,Pacific,,,,,0
2021-06-01_2021-08-31,NeuralGCM,3 days,EuroAtlantic,,,,,0
2021-06-01_2021-08-31,NeuralGCM,3 days,Pacific,,,,,0
2021-06-01_2021-08-31,NeuralGCM,5 days,EuroAtlantic,,,,,0
2021-06-01_2021-08-31,NeuralGCM,5 days,Pacific,,,,,0
2021-06-01_2021-08-31,NeuralGCM,7 days,EuroAtlantic,,,,,0
2021-06-01_2021-08-31,NeuralGCM,7 days,Pacific,,,,,0
