window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2021-03-01_2021-05-31,HRES,1 days,0,392.66956584450736,47.15322415374084,62
2021-03-01_2021-05-31,HRES,1 days,1,385.3234931134187,47.63264892751552,40
2021-03-01_2021-05-31,HRES,1 days,2,366.994379563656,47.432580776945436,31
2021-03-01_2021-05-31,HRES,1 days,3,372.29486510535054,45.68646019781272,48
2021-03-01_2021-05-31,HRES,3 days,0,394.6005647771949,147.0388165150945,58
2021-03-01_2021-05-31,HRES,3 days,1,389.24977914098406,147.36090966333745,40
2021-03-01_2021-05-31,HRES,3 days,2,372.46284784715294,147.79006137853983,31
2021-03-01_2021-05-31,HRES,3 days,3,375.4614068150259,142.302514505314,48
2021-03-01_2021-05-31,HRES,5 days,0,434.37342848848266,329.51122601301773,54
2021-03-01_2021-05-31,HRES,5 days,1,427.0721085024776,342.4421291334343,40
2021-03-01_2021-05-31,HRES,5 days,2,411.18967364348845,340.365037738083,31
2021-03-01_2021-05-31,HRES,5 days,3,416.9796260175133,325.17798231079513,48
2021-03-01_2021-05-31,HRES,7 days,0,546.4686324310064,565.473885547652,50
2021-03-01_2021-05-31,HRES,7 days,1,526.0073901663167,583.30112017534,40
2021-03-01_2021-05-31,HRES,7 days,2,535.8235551443003,587.0515600291315,31
2021-03-01_2021-05-31,HRES,7 days,3,533.87808309127,544.844714162234,48
