window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2018-06-01_2018-08-31,HRES,1 days,0.02,88,0.4835164835164835
2018-06-01_2018-08-31,HRES,1 days,0.05,77,0.4230769230769231
2018-06-01_2018-08-31,HRES,1 days,0.1,47,0.25824175824175827
2018-06-01_2018-08-31,HRES,1 days,0.2,17,0.09340659340659341
2018-06-01_2018-08-31,HRES,1 days,0.5,0,0.0
2018-06-01_2018-08-31,HRES,3 days,0.02,84,0.47191011235955055
2018-06-01_2018-08-31,HRES,3 days,0.05,73,0.4101123595505618
2018-06-01_2018-08-31,HRES,3 days,0.1,43,0.24157303370786518
2018-06-01_2018-08-31,HRES,3 days,0.2,16,0.0898876404494382
2018-06-01_2018-08-31,HRES,3 days,0.5,0,0.0
2018-06-01_2018-08-31,HRES,5 days,0.02,80,0.45977011494252873
2018-06-01_2018-08-31,HRES,5 days,0.05,69,0.39655172413793105
2018-06-01_2018-08-31,HRES,5 days,0.1,39,0.22413793103448276
2018-06-01_2018-08-31,HRES,5 days,0.2,16,0.09195402298850575
2018-06-01_2018-08-31,HRES,5 days,0.5,0,0.0
2018-06-01_2018-08-31,HRES,7 days,0.02,76,0.4470588235294118
2018-06-01_2018-08-31,HRES,7 days,0.05,67,0.3941176470588235
2018-06-01_2018-08-31,HRES,7 days,0.1,39,0.22941176470588234
2018-06-01_2018-08-31,HRES,7 days,0.2,16,0.09411764705882353
2018-06-01_2018-08-31,HRES,7 days,0.5,0,0.0
2018-06-01_2018-08-31,GraphCast,1 days,0.02,0,
2018-06-01_2018-08-31,GraphCast,1 days,0.05,0,
2018-06-01_2018-08-31,GraphCast,1 days,0.1,0,
2018-06-01_2018-08-31,GraphCast,1 days,0.2,0,
2018-06-01_2018-08-31,GraphCast,1 days,0.5,0,
2018-06-01_2018-08-31,GraphCast,3 days,0.02,0,
2018-06-01_2018-08-31,GraphCast,3 days,0.05,0,
2018-06-01_2018-08-31,GraphCast,3 days,0.1,0,
2018-06-01_2018-08-31,GraphCast,3 days,0.2,0,
2018-06-01_2018-08-31,GraphCast,3 days,0.5,0,
2018-06-01_2018-08-31,GraphCast,5 days,0.02,0,
2018-06-01_2018-08-31,GraphCast,5 days,0.05,0,
2018-06-01_2018-08-31,GraphCast,5 days,0.1,0,
2018-06-01_2018-08-31,GraphCast,5 days,0.2,0,
2018-06-01_2018-08-31,GraphCast,5 days,0.5,0,
2018-06-01_2018-08-31,GraphCast,7 days,0.02,0,
2018-06-01_2018-08-31,GraphCast,7 days,0.05,0,
2018-06-01_2018-08-31,GraphCast,7 days,0.1,0,
2018-06-01_2018-08-31,GraphCast,7 days,0.2,0,
2018-06-01_2018-08-31,GraphCast,7 days,0.5,0,
2018-06-01_2018-08-31,NeuralGCM,1 days,0.02,0,
2018-06-01_2018-08-31,NeuralGCM,1 days,0.05,0,
2018-06-01_2018-08-31,NeuralGCM,1 days,0.1,0,
2018-06-01_2018-08-31,NeuralGCM,1 days,0.2,0,
2018-06-01_2018-08-31,NeuralGCM,1 days,0.5,0,
2018-06-01_2018-08-31,NeuralGCM,3 days,0.02,0,
2018-06-01_2018-08-31,NeuralGCM,3 days,0.05,0,
2018-06-01_2018-08-31,NeuralGCM,3 days,0.1,0,
2018-06-01_2018-08-31,NeuralGCM,3 days,0.2,0,
2018-06-01_2018-08-31,NeuralGCM,3 days,0.5,0,
2018-06-01_2018-08-31,NeuralGCM,5 days,0.02,0,
2018-06-01_2018-08-31,NeuralGCM,5 days,0.05,0,
2018-06-01_2018-08-31,NeuralGCM,5 days,0.1,0,
2018-06-01_2018-08-31,NeuralGCM,5 days,0.2,0,
2018-06-01_2018-08-31,NeuralGCM,5 days,0.5,0,
2018-06-01_2018-08-31,NeuralGCM,7 days,0.02,0,
2018-06-01_2018-08-31,NeuralGCM,7 days,0.05,0,
2018-06-01_2018-08-31,NeuralGCM,7 days,0.1,0,
2018-06-01_2018-08-31,NeuralGCM,7 days,0.2,0,
2018-06-01_2018-08-31,NeuralGCM,7 days,0.5,0,
