window,model,lead,div_rmse_mean,vort_rmse_mean
2018-06-01_2018-08-31,HRES,1 days,6.532867612458166e-06,1.095139403779042e-05
2018-06-01_2018-08-31,HRES,3 days,8.547515692753577e-06,1.9118697130805813e-05
2018-06-01_2018-08-31,HRES,5 days,9.776741350838365e-06,2.529137694188747e-05
2018-06-01_2018-08-31,HRES,7 days,1.0557340567379227e-05,2.9155287799344945e-05
2018-06-01_2018-08-31,GraphCast,1 days,,
2018-06-01_2018-08-31,GraphCast,3 days,,
2018-06-01_2018-08-31,GraphCast,5 days,,
2018-06-01_2018-08-31,GraphCast,7 days,,
2018-06-01_2018-08-31,NeuralGCM,1 days,,
2018-06-01_2018-08-31,NeuralGCM,3 days,,
2018-06-01_2018-08-31,NeuralGCM,5 days,,
2018-06-01_2018-08-31,NeuralGCM,7 days,,
