window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2018-06-01_2018-08-31,z500,HRES,1 days,49.358732558097785,0.9978565876935486,36.39541555968285,-2.063378105823422,182
2018-06-01_2018-08-31,z500,HRES,3 days,147.54806720981318,0.9804995907973678,92.54202680861208,-6.640823777674724,178
2018-06-01_2018-08-31,z500,HRES,5 days,322.7024963478428,0.9052799421840715,189.14338948384864,-9.547068090135554,174
2018-06-01_2018-08-31,z500,HRES,7 days,531.8940147774252,0.7433472445573396,308.7243400183348,-10.149437585026947,170
2018-06-01_2018-08-31,z500,GraphCast,1 days,,,,,0
2018-06-01_2018-08-31,z500,GraphCast,3 days,,,,,0
2018-06-01_2018-08-31,z500,GraphCast,5 days,,,,,0
2018-06-01_2018-08-31,z500,GraphCast,7 days,,,,,0
2018-06-01_2018-08-31,z500,NeuralGCM,1 days,,,,,0
2018-06-01_2018-08-31,z500,NeuralGCM,3 days,,,,,0
2018-06-01_2018-08-31,z500,NeuralGCM,5 days,,,,,0
2018-06-01_2018-08-31,z500,NeuralGCM,7 days,,,,,0
2018-06-01_2018-08-31,t850,HRES,1 days,0.7488607305864922,0.9723018420512685,0.5150243001722326,-0.031419503494124854,182
2018-06-01_2018-08-31,t850,HRES,3 days,1.2259291702978288,0.9253695279206843,0.8217652476544547,-0.03143009550705157,178
2018-06-01_2018-08-31,t850,HRES,5 days,1.9096958356788811,0.817062317424994,1.2316833260164242,-0.04860186259907583,174
2018-06-01_2018-08-31,t850,HRES,7 days,2.704103516454527,0.6321509126702501,1.7289599286312467,-0.062129359308949236,170
2018-06-01_2018-08-31,t850,GraphCast,1 days,,,,,0
2018-06-01_2018-08-31,t850,GraphCast,3 days,,,,,0
2018-06-01_2018-08-31,t850,GraphCast,5 days,,,,,0
2018-06-01_2018-08-31,t850,GraphCast,7 days,,,,,0
2018-06-01_2018-08-31,t850,NeuralGCM,1 days,,,,,0
2018-06-01_2018-08-31,t850,NeuralGCM,3 days,,,,,0
2018-06-01_2018-08-31,t850,NeuralGCM,5 days,,,,,0
2018-06-01_2018-08-31,t850,NeuralGCM,7 days,,,,,0
2018-06-01_2018-08-31,u850,HRES,1 days,1.364958779044793,0.9692515160814716,1.0048724433588172,0.014028065150385743,182
2018-06-01_2018-08-31,u850,HRES,3 days,2.499224413190781,0.8957489481763161,1.7460790877877286,0.04047332725120555,178
2018-06-01_2018-08-31,u850,HRES,5 days,3.863547128417184,0.7497461787605757,2.6468740705862976,0.030131551940927027,174
2018-06-01_2018-08-31,u850,HRES,7 days,5.1632978625678,0.556636810327543,3.5501660152853285,0.0034318686262671664,170
2018-06-01_2018-08-31,u850,GraphCast,1 days,,,,,0
2018-06-01_2018-08-31,u850,GraphCast,3 days,,,,,0
2018-06-01_2018-08-31,u850,GraphCast,5 days,,,,,0
2018-06-01_2018-08-31,u850,GraphCast,7 days,,,,,0
2018-06-01_2018-08-31,u850,NeuralGCM,1 days,,,,,0
2018-06-01_2018-08-31,u850,NeuralGCM,3 days,,,,,0
2018-06-01_2018-08-31,u850,NeuralGCM,5 days,,,,,0
2018-06-01_2018-08-31,u850,NeuralGCM,7 days,,,,,0
2018-06-01_2018-08-31,v850,HRES,1 days,1.385601186391947,0.9669461743948614,1.0138921873735582,-0.028070968873154998,182
2018-06-01_2018-08-31,v850,HRES,3 days,2.5229866738007916,0.8890978598510871,1.7261389889216199,0.03325412812142708,178
2018-06-01_2018-08-31,v850,HRES,5 days,3.913758759401729,0.7306752142403029,2.610636338688997,0.0042971468099961664,174
2018-06-01_2018-08-31,v850,HRES,7 days,5.284370015895261,0.5093533420838539,3.5275898928409193,-0.004492650179506996,170
2018-06-01_2018-08-31,v850,GraphCast,1 days,,,,,0
2018-06-01_2018-08-31,v850,GraphCast,3 days,,,,,0
2018-06-01_2018-08-31,v850,GraphCast,5 days,,,,,0
2018-06-01_2018-08-31,v850,GraphCast,7 days,,,,,0
2018-06-01_2018-08-31,v850,NeuralGCM,1 days,,,,,0
2018-06-01_2018-08-31,v850,NeuralGCM,3 days,,,,,0
2018-06-01_2018-08-31,v850,NeuralGCM,5 days,,,,,0
2018-06-01_2018-08-31,v850,NeuralGCM,7 days,,,,,0
2018-06-01_2018-08-31,mslp,HRES,1 days,63.86842494663983,0.9953811984534555,45.87227365978428,-1.5587635779295947,182
2018-06-01_2018-08-31,mslp,HRES,3 days,158.71579918142706,0.9708907379914343,98.8242564319461,-2.237447453491179,178
2018-06-01_2018-08-31,mslp,HRES,5 days,325.78104415102706,0.8767037818767878,190.4722192579883,-3.1490264947763733,174
2018-06-01_2018-08-31,mslp,HRES,7 days,514.4679772187562,0.696886005520856,299.9415825431428,-4.373152109908553,170
2018-06-01_2018-08-31,mslp,GraphCast,1 days,,,,,0
2018-06-01_2018-08-31,mslp,GraphCast,3 days,,,,,0
2018-06-01_2018-08-31,mslp,GraphCast,5 days,,,,,0
2018-06-01_2018-08-31,mslp,GraphCast,7 days,,,,,0
