window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2020-12-01_2021-02-28,HRES,1 days,EuroAtlantic,0.050912921348314606,0.2325000000000003,0.325,0.5,178
2020-12-01_2021-02-28,HRES,1 days,Pacific,0.0037921348314606746,0.0,0.0125,0.1375,178
2020-12-01_2021-02-28,HRES,3 days,EuroAtlantic,0.05093390804597701,0.24250000000000044,0.325,0.5,174
2020-12-01_2021-02-28,HRES,3 days,Pacific,0.0038793103448275866,0.0,0.0125,0.1375,174
2020-12-01_2021-02-28,HRES,5 days,EuroAtlantic,0.04992647058823529,0.22749999999999987,0.325,0.5,170
2020-12-01_2021-02-28,HRES,5 days,Pacific,0.003970588235294118,0.0,0.0125,0.1375,170
2020-12-01_2021-02-28,HRES,7 days,EuroAtlantic,0.042093373493975905,0.16875,0.296875,0.5,166
2020-12-01_2021-02-28,HRES,7 days,Pacific,0.0040662650602409645,0.0,0.0125,0.1375,166
2020-12-01_2021-02-28,GraphCast,1 days,EuroAtlantic,0.07026209677419355,0.28375,0.3606249999999999,0.5,124
2020-12-01_2021-02-28,GraphCast,1 days,Pacific,0.0016129032258064516,0.0,0.0,0.075,124
2020-12-01_2021-02-28,GraphCast,3 days,EuroAtlantic,0.0686491935483871,0.28375,0.3606249999999999,0.5,124
2020-12-01_2021-02-28,GraphCast,3 days,Pacific,0.0016129032258064516,0.0,0.0,0.075,124
2020-12-01_2021-02-28,GraphCast,5 days,EuroAtlantic,0.06562499999999999,0.28375,0.3606249999999999,0.5,124
2020-12-01_2021-02-28,GraphCast,5 days,Pacific,0.0016129032258064516,0.0,0.0,0.075,124
2020-12-01_2021-02-28,GraphCast,7 days,EuroAtlantic,0.053528225806451606,0.24250000000000008,0.32312499999999994,0.5,124
2020-12-01_2021-02-28,GraphCast,7 days,Pacific,0.0029233870967741936,0.0,0.0,0.1125,124
2020-12-01_2021-02-28,NeuralGCM,1 days,EuroAtlantic,0.0782258064516129,0.29874999999999996,0.36187499999999995,0.4625,62
2020-12-01_2021-02-28,NeuralGCM,1 days,Pacific,0.0032258064516129032,0.0,0.011874999999999948,0.075,62
2020-12-01_2021-02-28,NeuralGCM,3 days,EuroAtlantic,0.08125,0.29874999999999996,0.36187499999999995,0.4625,62
2020-12-01_2021-02-28,NeuralGCM,3 days,Pacific,0.0032258064516129032,0.0,0.011874999999999948,0.075,62
2020-12-01_2021-02-28,NeuralGCM,5 days,EuroAtlantic,0.0967741935483871,0.325,0.3862499999999999,0.4625,62
2020-12-01_2021-02-28,NeuralGCM,5 days,Pacific,0.0032258064516129032,0.0,0.011874999999999948,0.075,62
2020-12-01_2021-02-28,NeuralGCM,7 days,EuroAtlantic,0.09455645161290323,0.32375,0.3862499999999999,0.5,62
2020-12-01_2021-02-28,NeuralGCM,7 days,Pacific,0.0032258064516129032,0.0,0.011874999999999948,0.075,62
