window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2020-12-01_2021-02-28,HRES,1 days,0.02,52,0.29213483146067415
2020-12-01_2021-02-28,HRES,1 days,0.05,40,0.2247191011235955
2020-12-01_2021-02-28,HRES,1 days,0.1,32,0.1797752808988764
2020-12-01_2021-02-28,HRES,1 days,0.2,19,0.10674157303370786
2020-12-01_2021-02-28,HRES,1 days,0.5,0,0.0
2020-12-01_2021-02-28,HRES,3 days,0.02,50,0.28735632183908044
2020-12-01_2021-02-28,HRES,3 days,0.05,38,0.21839080459770116
2020-12-01_2021-02-28,HRES,3 days,0.1,31,0.1781609195402299
2020-12-01_2021-02-28,HRES,3 days,0.2,19,0.10919540229885058
2020-12-01_2021-02-28,HRES,3 days,0.5,0,0.0
2020-12-01_2021-02-28,HRES,5 days,0.02,47,0.27647058823529413
2020-12-01_2021-02-28,HRES,5 days,0.05,36,0.21176470588235294
2020-12-01_2021-02-28,HRES,5 days,0.1,30,0.17647058823529413
2020-12-01_2021-02-28,HRES,5 days,0.2,18,0.10588235294117647
2020-12-01_2021-02-28,HRES,5 days,0.5,0,0.0
2020-12-01_2021-02-28,HRES,7 days,0.02,43,0.25903614457831325
2020-12-01_2021-02-28,HRES,7 days,0.05,32,0.1927710843373494
2020-12-01_2021-02-28,HRES,7 days,0.1,26,0.1566265060240964
2020-12-01_2021-02-28,HRES,7 days,0.2,14,0.08433734939759036
2020-12-01_2021-02-28,HRES,7 days,0.5,0,0.0
2020-12-01_2021-02-28,GraphCast,1 days,0.02,44,0.3548387096774194
2020-12-01_2021-02-28,GraphCast,1 days,0.05,35,0.28225806451612906
2020-12-01_2021-02-28,GraphCast,1 days,0.1,27,0.21774193548387097
2020-12-01_2021-02-28,GraphCast,1 days,0.2,19,0.1532258064516129
2020-12-01_2021-02-28,GraphCast,1 days,0.5,0,0.0
2020-12-01_2021-02-28,GraphCast,3 days,0.02,42,0.3387096774193548
2020-12-01_2021-02-28,GraphCast,3 days,0.05,33,0.2661290322580645
2020-12-01_2021-02-28,GraphCast,3 days,0.1,26,0.20967741935483872
2020-12-01_2021-02-28,GraphCast,3 days,0.2,19,0.1532258064516129
2020-12-01_2021-02-28,GraphCast,3 days,0.5,0,0.0
2020-12-01_2021-02-28,GraphCast,5 days,0.02,39,0.31451612903225806
2020-12-01_2021-02-28,GraphCast,5 days,0.05,31,0.25
2020-12-01_2021-02-28,GraphCast,5 days,0.1,25,0.20161290322580644
2020-12-01_2021-02-28,GraphCast,5 days,0.2,18,0.14516129032258066
2020-12-01_2021-02-28,GraphCast,5 days,0.5,0,0.0
2020-12-01_2021-02-28,GraphCast,7 days,0.02,37,0.29838709677419356
2020-12-01_2021-02-28,GraphCast,7 days,0.05,28,0.22580645161290322
2020-12-01_2021-02-28,GraphCast,7 days,0.1,22,0.1774193548387097
2020-12-01_2021-02-28,GraphCast,7 days,0.2,14,0.11290322580645161
2020-12-01_2021-02-28,GraphCast,7 days,0.5,0,0.0
2020-12-01_2021-02-28,NeuralGCM,1 days,0.02,24,0.3870967741935484
2020-12-01_2021-02-28,NeuralGCM,1 days,0.05,19,0.3064516129032258
2020-12-01_2021-02-28,NeuralGCM,1 days,0.1,16,0.25806451612903225
2020-12-01_2021-02-28,NeuralGCM,1 days,0.2,12,0.1935483870967742
2020-12-01_2021-02-28,NeuralGCM,1 days,0.5,0,0.0
2020-12-01_2021-02-28,NeuralGCM,3 days,0.02,25,0.4032258064516129
2020-12-01_2021-02-28,NeuralGCM,3 days,0.05,19,0.3064516129032258
2020-12-01_2021-02-28,NeuralGCM,3 days,0.1,17,0.27419354838709675
2020-12-01_2021-02-28,NeuralGCM,3 days,0.2,13,0.20967741935483872
2020-12-01_2021-02-28,NeuralGCM,3 days,0.5,0,0.0
2020-12-01_2021-02-28,NeuralGCM,5 days,0.02,26,0.41935483870967744
2020-12-01_2021-02-28,NeuralGCM,5 days,0.05,21,0.3387096774193548
2020-12-01_2021-02-28,NeuralGCM,5 days,0.1,20,0.3225806451612903
2020-12-01_2021-02-28,NeuralGCM,5 days,0.2,16,0.25806451612903225
2020-12-01_2021-02-28,NeuralGCM,5 days,0.5,0,0.0
2020-12-01_2021-02-28,NeuralGCM,7 days,0.02,26,0.41935483870967744
2020-12-01_2021-02-28,NeuralGCM,7 days,0.05,21,0.3387096774193548
2020-12-01_2021-02-28,NeuralGCM,7 days,0.1,20,0.3225806451612903
2020-12-01_2021-02-28,NeuralGCM,7 days,0.2,14,0.22580645161290322
2020-12-01_2021-02-28,NeuralGCM,7 days,0.5,0,0.0
