window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2018-01-01_2018-12-31,HRES,1 days,0,368.2250233686149,49.87240801214798,113
2018-01-01_2018-12-31,HRES,1 days,1,356.357806229696,49.01561080455056,230
2018-01-01_2018-12-31,HRES,1 days,2,375.7642620139199,50.273491870903676,198
2018-01-01_2018-12-31,HRES,1 days,3,366.6938905174746,48.175165999852474,186
2018-01-01_2018-12-31,HRES,3 days,0,373.9262373095433,144.05144199270032,109
2018-01-01_2018-12-31,HRES,3 days,1,362.8547949092235,147.7130930323438,230
2018-01-01_2018-12-31,HRES,3 days,2,382.1454157162031,148.45737752327827,198
2018-01-01_2018-12-31,HRES,3 days,3,372.77970853301724,142.88126186831965,186
2018-01-01_2018-12-31,HRES,5 days,0,416.71352567247493,314.1006119944577,105
2018-01-01_2018-12-31,HRES,5 days,1,405.61309263847096,322.510552115176,230
2018-01-01_2018-12-31,HRES,5 days,2,418.83516823050405,323.64549631395454,198
2018-01-01_2018-12-31,HRES,5 days,3,410.34420915364075,316.2614982919369,186
2018-01-01_2018-12-31,HRES,7 days,0,506.05835841205004,534.8597707535687,101
2018-01-01_2018-12-31,HRES,7 days,1,518.2632584487079,533.268922532728,230
2018-01-01_2018-12-31,HRES,7 days,2,521.8928251209271,545.7381494850825,198
2018-01-01_2018-12-31,HRES,7 days,3,522.799087163087,532.4876020980582,186
