window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2018-12-01_2019-02-28,HRES,1 days,50.90333122348858,49.49078571183507,46,132
2018-12-01_2019-02-28,HRES,3 days,146.86117610485758,143.41773950684868,46,128
2018-12-01_2019-02-28,HRES,5 days,330.59032104330635,301.95372001048725,46,124
2018-12-01_2019-02-28,HRES,7 days,531.4023739480374,509.1769307924469,46,120
2018-12-01_2019-02-28,GraphCast,1 days,,,0,0
2018-12-01_2019-02-28,GraphCast,3 days,,,0,0
2018-12-01_2019-02-28,GraphCast,5 days,,,0,0
2018-12-01_2019-02-28,GraphCast,7 days,,,0,0
2018-12-01_2019-02-28,NeuralGCM,1 days,,,0,0
2018-12-01_2019-02-28,NeuralGCM,3 days,,,0,0
2018-12-01_2019-02-28,NeuralGCM,5 days,,,0,0
2018-12-01_2019-02-28,NeuralGCM,7 days,,,0,0
