window,model,lead,div_rmse_mean,vort_rmse_mean
2019-09-01_2019-11-30,HRES,1 days,6.221098897425655e-06,1.0145198318348516e-05
2019-09-01_2019-11-30,HRES,3 days,8.181919233707272e-06,1.7636403069650365e-05
2019-09-01_2019-11-30,HRES,5 days,9.54141789098693e-06,2.3879928478120335e-05
2019-09-01_2019-11-30,HRES,7 days,1.0436030360402633e-05,2.8145375455030837e-05
2019-09-01_2019-11-30,GraphCast,1 days,4.585457839964046e-06,7.306500499450688e-06
2019-09-01_2019-11-30,GraphCast,3 days,6.365922152947246e-06,1.3883198899791977e-05
2019-09-01_2019-11-30,GraphCast,5 days,7.62343756830558e-06,1.9346493727580715e-05
2019-09-01_2019-11-30,GraphCast,7 days,8.571090491601412e-06,2.3379851377134138e-05
2019-09-01_2019-11-30,NeuralGCM,1 days,,
2019-09-01_2019-11-30,NeuralGCM,3 days,,
2019-09-01_2019-11-30,NeuralGCM,5 days,,
2019-09-01_2019-11-30,NeuralGCM,7 days,,
