window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2018-03-01_2018-05-31,HRES,1 days,0,363.0056587839785,51.209487493628075,22
2018-03-01_2018-05-31,HRES,1 days,1,360.99024618606694,50.78023402364603,58
2018-03-01_2018-05-31,HRES,1 days,2,390.93755387033826,50.7600978211025,60
2018-03-01_2018-05-31,HRES,1 days,3,384.3569280860606,50.19138525343486,41
2018-03-01_2018-05-31,HRES,3 days,0,366.8725128749448,147.2388271890051,22
2018-03-01_2018-05-31,HRES,3 days,1,367.81968449459407,154.07984794990057,58
2018-03-01_2018-05-31,HRES,3 days,2,399.1116846641522,154.31334626199748,60
2018-03-01_2018-05-31,HRES,3 days,3,393.9595079684902,145.5348616512603,37
2018-03-01_2018-05-31,HRES,5 days,0,397.20859466540827,327.8878444614796,22
2018-03-01_2018-05-31,HRES,5 days,1,414.7230204940995,343.56588416281693,58
2018-03-01_2018-05-31,HRES,5 days,2,429.5149264707703,338.58742795659714,60
2018-03-01_2018-05-31,HRES,5 days,3,441.7279686073179,325.53228582543977,33
2018-03-01_2018-05-31,HRES,7 days,0,544.7496782525487,560.398663202352,22
2018-03-01_2018-05-31,HRES,7 days,1,544.8549947105005,563.237407561887,58
2018-03-01_2018-05-31,HRES,7 days,2,540.2926011093826,572.2254998372238,60
2018-03-01_2018-05-31,HRES,7 days,3,542.668790404757,558.3451970995065,29
