window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked,lead_h,tag,bucket,season,start,end,blocking_penalty
2021-09-01_2021-11-30,HRES,7 days,505.388448662796,504.4792164055647,36,132,168.0,SON_2021,season,SON,2021-09-01,2021-11-30,0.909232257231281
2021-09-01_2021-11-30,GraphCast,7 days,,,0,0,168.0,SON_2021,season,SON,2021-09-01,2021-11-30,
2021-09-01_2021-11-30,NeuralGCM,7 days,,,0,0,168.0,SON_2021,season,SON,2021-09-01,2021-11-30,
2021-12-01_2022-02-28,HRES,7 days,514.6710387651627,498.1414448635622,48,118,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,16.52959390160055
2021-12-01_2022-02-28,GraphCast,7 days,,,0,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,
2021-12-01_2022-02-28,NeuralGCM,7 days,,,0,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,
2022-03-01_2022-05-31,HRES,7 days,534.1801336489519,536.6056145558842,101,69,168.0,MAM_2022,season,MAM,2022-03-01,2022-05-31,-2.4254809069323073
2022-03-01_2022-05-31,GraphCast,7 days,,,0,0,168.0,MAM_2022,season,MAM,2022-03-01,2022-05-31,
2022-03-01_2022-05-31,NeuralGCM,7 days,,,0,0,168.0,MAM_2022,season,MAM,2022-03-01,2022-05-31,
2022-06-01_2022-08-31,HRES,7 days,518.8734374387625,501.7761437272344,60,110,168.0,JJA_2022,season,JJA,2022-06-01,2022-08-31,17.097293711528096
2022-06-01_2022-08-31,GraphCast,7 days,,,0,0,168.0,JJA_2022,season,JJA,2022-06-01,2022-08-31,
2022-06-01_2022-08-31,NeuralGCM,7 days,,,0,0,168.0,JJA_2022,season,JJA,2022-06-01,2022-08-31,
2022-09-01_2022-11-30,HRES,7 days,503.05919662305087,528.8796750801376,21,147,168.0,SON_2022,season,SON,2022-09-01,2022-11-30,-25.82047845708678
2022-09-01_2022-11-30,GraphCast,7 days,,,0,0,168.0,SON_2022,season,SON,2022-09-01,2022-11-30,
2022-09-01_2022-11-30,NeuralGCM,7 days,,,0,0,168.0,SON_2022,season,SON,2022-09-01,2022-11-30,
2018-01-01_2018-12-31,HRES,7 days,546.9697082013079,531.6796984216423,237,479,168.0,2018,year,ALL,2018-01-01,2018-12-31,15.290009779665525
2018-01-01_2018-12-31,GraphCast,7 days,,,0,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,
2018-01-01_2018-12-31,NeuralGCM,7 days,,,0,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,
2019-01-01_2019-12-31,HRES,7 days,525.9912332507586,515.0494361558248,211,505,168.0,2019,year,ALL,2019-01-01,2019-12-31,10.941797094933804
2019-01-01_2019-12-31,GraphCast,7 days,461.476170081974,438.5547506594402,15,63,168.0,2019,year,ALL,2019-01-01,2019-12-31,22.921419422533802
2019-01-01_2019-12-31,NeuralGCM,7 days,,,0,0,168.0,2019,year,ALL,2019-01-01,2019-12-31,
2020-01-01_2020-12-31,HRES,7 days,541.3025798201812,508.97276889615694,211,507,168.0,2020,year,ALL,2020-01-01,2020-12-31,32.32981092402429
2020-01-01_2020-12-31,GraphCast,7 days,488.87699043431047,454.2613790826406,211,507,168.0,2020,year,ALL,2020-01-01,2020-12-31,34.615611351669884
2020-01-01_2020-12-31,NeuralGCM,7 days,480.22277346399295,459.2601003372427,211,507,168.0,2020,year,ALL,2020-01-01,2020-12-31,20.962673126750246
2021-01-01_2021-12-31,HRES,7 days,535.6121061180003,527.5481638088996,212,504,168.0,2021,year,ALL,2021-01-01,2021-12-31,8.06394230910064
2021-01-01_2021-12-31,GraphCast,7 days,422.9457281915384,450.27931041398136,2,60,168.0,2021,year,ALL,2021-01-01,2021-12-31,-27.333582222442942
2021-01-01_2021-12-31,NeuralGCM,7 days,,,0,0,168.0,2021,year,ALL,2021-01-01,2021-12-31,
2022-01-01_2022-12-31,HRES,7 days,522.4962656492165,516.1520139310376,263,453,168.0,2022,year,ALL,2022-01-01,2022-12-31,6.344251718178953
2022-01-01_2022-12-31,GraphCast,7 days,,,0,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,
2022-01-01_2022-12-31,NeuralGCM,7 days,,,0,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,
