tag,bucket,season,variable,lead_h,delta,pair,metric,favorable
2021,year,ALL,u850,72.0,-0.45832641924507267,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,u850,120.0,-0.671652261562603,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,u850,168.0,-0.7480738242280367,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,v850,24.0,-0.30198817752876206,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,v850,72.0,-0.45726723073058917,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,v850,120.0,-0.6552384348338611,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,v850,168.0,-0.736227551183017,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,z500,24.0,-7.606868750652858,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,z500,72.0,-20.906195974507966,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,z500,120.0,-53.13797618887878,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,z500,168.0,-80.538229576513,GraphCast_minus_HRES,rmse_mean,True
2022,year,ALL,mslp,24.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,mslp,72.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,mslp,120.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,mslp,168.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,t850,24.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,t850,72.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,t850,120.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,t850,168.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,u850,24.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,u850,72.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,u850,120.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,u850,168.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,v850,24.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,v850,72.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,v850,120.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,v850,168.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,z500,24.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,z500,72.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,z500,120.0,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,z500,168.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,mslp,24.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,mslp,72.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,mslp,120.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,mslp,168.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,t850,24.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,t850,72.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,t850,120.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,t850,168.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,u850,24.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,u850,72.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,u850,120.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,u850,168.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,v850,24.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,v850,72.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,v850,120.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,v850,168.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,z500,24.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,z500,72.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,z500,120.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,z500,168.0,,GraphCast_minus_HRES,rmse_mean,False
DJF_2020,season,DJF,mslp,24.0,-16.202524089858912,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,mslp,72.0,-21.633334514867173,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,mslp,120.0,-38.400993487200196,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,mslp,168.0,-55.11191952998348,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,t850,24.0,-0.22271785269154876,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,t850,72.0,-0.22701331385557544,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,t850,120.0,-0.2739682852542711,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,t850,168.0,-0.30824402985981214,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,u850,24.0,-0.3074690871505448,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,u850,72.0,-0.422260661206725,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,u850,120.0,-0.5845536249403356,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,u850,168.0,-0.6987993010072744,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,v850,24.0,-0.3036696467486819,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,v850,72.0,-0.40991795633286277,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,v850,120.0,-0.5409875128125305,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,v850,168.0,-0.6573522985638665,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,z500,24.0,-10.539017728541808,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,z500,72.0,-18.496110646109642,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,z500,120.0,-37.3693671303954,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,z500,168.0,-52.136587913122526,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,mslp,24.0,-14.564475760416961,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,mslp,72.0,-21.672259912700156,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,mslp,120.0,-46.686591971367505,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,mslp,168.0,-66.30394087777103,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,t850,24.0,-0.19992245747530712,GraphCast_minus_HRES,rmse_mean,True
