tag,bucket,season,regime_entropy,normalized_entropy
2018,year,ALL,1.3581427732799873,0.9796929219151108
2019,year,ALL,1.3609529400219305,0.981720028726447
2020,year,ALL,1.3805845223276272,0.9958812219450631
2021,year,ALL,1.348184679479186,0.9725096756435492
2022,year,ALL,1.3647100081280672,0.9844301804889498
DJF_2019,season,DJF,1.350515038337416,0.9741906742276792
DJF_2020,season,DJF,1.3533447348760883,0.9762318688094608
DJF_2021,season,DJF,1.3358851860756613,0.9636374665741934
DJF_2022,season,DJF,1.313487982404693,0.9474812992412504
JJA_2018,season,JJA,1.3614137384678107,0.9820524245428074
JJA_2019,season,JJA,1.375878402977246,0.9924864744207498
JJA_2020,season,JJA,1.3686180560625858,0.987249241176293
JJA_2021,season,JJA,1.3645171427850549,0.9842910575519882
JJA_2022,season,JJA,1.3369994693000578,0.9644412520151846
MAM_2018,season,MAM,1.3273115674781086,0.9574529080576121
MAM_2019,season,MAM,1.3251484497249586,0.9558925484299479
MAM_2020,season,MAM,1.3668328965990342,0.985961520823662
MAM_2021,season,MAM,1.3494004498761476,0.9733866686048273
MAM_2022,season,MAM,1.2024446224630956,0.8673804468855549
SON_2018,season,SON,1.323758737095912,0.9548900826708547
SON_2019,season,SON,1.3792946465506855,0.9949507732516848
SON_2020,season,SON,1.3766613611731418,0.9930512593739709
SON_2021,season,SON,1.352803793118799,0.9758416618141353
SON_2022,season,SON,1.37054033042746,0.9886358690230089
