bucket,season,variable,pair,metric,n_windows,share_favorable,delta_mean,delta_ci_lo,delta_ci_hi
season,MAM,u850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.4906341464509669,-0.4906341464509669,-0.4906341464509669
season,MAM,v850,GraphCast_minus_HRES,acc_mean,5,0.2,0.06603236616977282,0.06603236616977282,0.06603236616977282
season,MAM,v850,GraphCast_minus_HRES,rmse_mean,5,0.2,-0.6170941235802836,-0.6170941235802836,-0.6170941235802836
season,MAM,v850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.058904320162899926,0.058904320162899926,0.058904320162899926
season,MAM,v850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.4306439934159476,-0.4306439934159476,-0.4306439934159476
season,MAM,z500,GraphCast_minus_HRES,acc_mean,5,0.2,0.03266352861568034,0.03266352861568034,0.03266352861568034
season,MAM,z500,GraphCast_minus_HRES,rmse_mean,5,0.2,-55.67160140503307,-55.67160140503307,-55.67160140503307
season,MAM,z500,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.036705446761926774,0.036705446761926774,0.036705446761926774
season,MAM,z500,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-55.4336588220433,-55.4336588220433,-55.4336588220433
season,SON,mslp,GraphCast_minus_HRES,acc_mean,5,0.2,-0.021610334030172984,-0.08984781805614495,0.04662714999579898
season,SON,mslp,GraphCast_minus_HRES,rmse_mean,5,0.4,-54.35834636780535,-61.94974138218299,-46.766951353427714
season,SON,mslp,NeuralGCM_minus_HRES,acc_mean,5,0.0,,,
season,SON,mslp,NeuralGCM_minus_HRES,rmse_mean,5,0.0,,,
season,SON,t850,GraphCast_minus_HRES,acc_mean,5,0.2,-0.042225375518053776,-0.1267176298292414,0.042266878793133844
season,SON,t850,GraphCast_minus_HRES,rmse_mean,5,0.4,-0.36248949879671555,-0.40117095050646334,-0.32380804708696775
season,SON,t850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.03279577932551403,0.03279577932551403,0.03279577932551403
season,SON,t850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.2465773792865833,-0.2465773792865833,-0.2465773792865833
season,SON,u850,GraphCast_minus_HRES,acc_mean,5,0.2,-0.00014168173081363644,-0.0783946312665369,0.07811126780490962
season,SON,u850,GraphCast_minus_HRES,rmse_mean,5,0.4,-0.654859890829679,-0.7005239523712463,-0.6091958292881117
season,SON,u850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.05788103674971712,0.05788103674971712,0.05788103674971712
season,SON,u850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.4367668809899419,-0.4367668809899419,-0.4367668809899419
season,SON,v850,GraphCast_minus_HRES,acc_mean,5,0.2,0.036209274023927374,-0.0037162560898711394,0.07613480413772589
season,SON,v850,GraphCast_minus_HRES,rmse_mean,5,0.4,-0.6866227184252165,-0.6904261786884778,-0.6828192581619552
season,SON,v850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.06126857879472314,0.06126857879472314,0.06126857879472314
season,SON,v850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.42420517266992785,-0.42420517266992785,-0.42420517266992785
season,SON,z500,GraphCast_minus_HRES,acc_mean,5,0.2,-0.05869807770544294,-0.1522129103556461,0.03481675494476022
season,SON,z500,GraphCast_minus_HRES,rmse_mean,5,0.4,-53.377319504504044,-60.82049902688942,-45.934139982118666
season,SON,z500,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.03276699534406846,0.03276699534406846,0.03276699534406846
season,SON,z500,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-51.30069102925518,-51.30069102925518,-51.30069102925518
year,ALL,mslp,GraphCast_minus_HRES,acc_mean,5,0.6,0.025265455215706556,0.016562078120087698,0.03721441888090471
year,ALL,mslp,GraphCast_minus_HRES,rmse_mean,5,0.6,-69.1911475485686,-80.5369013216469,-52.56534231675357
year,ALL,mslp,NeuralGCM_minus_HRES,acc_mean,5,0.0,,,
year,ALL,mslp,NeuralGCM_minus_HRES,rmse_mean,5,0.0,,,
year,ALL,t850,GraphCast_minus_HRES,acc_mean,5,0.2,-0.047246725687346634,-0.08610452622670905,0.0284528993911779
year,ALL,t850,GraphCast_minus_HRES,rmse_mean,5,0.6,-0.3916276020830553,-0.44344272267519047,-0.3106481938737238
year,ALL,t850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.02417137803056235,0.02417137803056235,0.02417137803056235
year,ALL,t850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.26638202699020797,-0.26638202699020797,-0.26638202699020797
year,ALL,u850,GraphCast_minus_HRES,acc_mean,5,0.6,0.04709412975934631,0.024694875205941824,0.06851259685909872
year,ALL,u850,GraphCast_minus_HRES,rmse_mean,5,0.6,-0.7413192621166278,-0.8233981570488131,-0.6524858050730336
year,ALL,u850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.05670565382682147,0.05670565382682147,0.05670565382682147
year,ALL,u850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.46272931179436405,-0.46272931179436405,-0.46272931179436405
year,ALL,v850,GraphCast_minus_HRES,acc_mean,5,0.6,0.07510575362408904,0.06837637509483263,0.08493432363593145
year,ALL,v850,GraphCast_minus_HRES,rmse_mean,5,0.6,-0.752623505585548,-0.8700142471952965,-0.6516287183783307
year,ALL,v850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.06246563141756789,0.06246563141756789,0.06246563141756789
year,ALL,v850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.45479660364259633,-0.45479660364259633,-0.45479660364259633
year,ALL,z500,GraphCast_minus_HRES,acc_mean,5,0.2,-0.022927141201876593,-0.04804552549830865,0.023801772355180773
year,ALL,z500,GraphCast_minus_HRES,rmse_mean,5,0.6,-69.96302510450359,-80.538229576513,-54.03965737586577
year,ALL,z500,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.024544150523420183,0.024544150523420183,0.024544150523420183
year,ALL,z500,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-53.05315055783478,-53.05315055783478,-53.05315055783478
