bucket,season,variable,lead_h,model,wins,n_windows,win_share,metric
season,JJA,mslp,72.0,HRES,4,5,0.8,acc_mean
season,JJA,mslp,120.0,GraphCast,1,5,0.2,acc_mean
season,JJA,mslp,120.0,HRES,4,5,0.8,acc_mean
season,JJA,mslp,168.0,GraphCast,1,5,0.2,acc_mean
season,JJA,mslp,168.0,HRES,4,5,0.8,acc_mean
season,JJA,t850,24.0,GraphCast,1,5,0.2,acc_mean
season,JJA,t850,24.0,HRES,4,5,0.8,acc_mean
season,JJA,t850,72.0,GraphCast,1,5,0.2,acc_mean
season,JJA,t850,72.0,HRES,4,5,0.8,acc_mean
season,JJA,t850,120.0,GraphCast,1,5,0.2,acc_mean
season,JJA,t850,120.0,HRES,4,5,0.8,acc_mean
season,JJA,t850,168.0,GraphCast,1,5,0.2,acc_mean
season,JJA,t850,168.0,HRES,4,5,0.8,acc_mean
season,JJA,u850,24.0,GraphCast,1,5,0.2,acc_mean
season,JJA,u850,24.0,HRES,4,5,0.8,acc_mean
season,JJA,u850,72.0,GraphCast,1,5,0.2,acc_mean
season,JJA,u850,72.0,HRES,4,5,0.8,acc_mean
season,JJA,u850,120.0,GraphCast,1,5,0.2,acc_mean
season,JJA,u850,120.0,HRES,4,5,0.8,acc_mean
season,JJA,u850,168.0,GraphCast,1,5,0.2,acc_mean
season,JJA,u850,168.0,HRES,4,5,0.8,acc_mean
season,JJA,v850,24.0,GraphCast,1,5,0.2,acc_mean
season,JJA,v850,24.0,HRES,4,5,0.8,acc_mean
season,JJA,v850,72.0,GraphCast,1,5,0.2,acc_mean
season,JJA,v850,72.0,HRES,4,5,0.8,acc_mean
season,JJA,v850,120.0,GraphCast,1,5,0.2,acc_mean
season,JJA,v850,120.0,HRES,4,5,0.8,acc_mean
season,JJA,v850,168.0,GraphCast,1,5,0.2,acc_mean
season,JJA,v850,168.0,HRES,4,5,0.8,acc_mean
season,JJA,z500,24.0,HRES,4,5,0.8,acc_mean
season,JJA,z500,24.0,NeuralGCM,1,5,0.2,acc_mean
season,JJA,z500,72.0,HRES,4,5,0.8,acc_mean
season,JJA,z500,72.0,NeuralGCM,1,5,0.2,acc_mean
season,JJA,z500,120.0,HRES,4,5,0.8,acc_mean
season,JJA,z500,120.0,NeuralGCM,1,5,0.2,acc_mean
season,JJA,z500,168.0,HRES,4,5,0.8,acc_mean
season,JJA,z500,168.0,NeuralGCM,1,5,0.2,acc_mean
season,MAM,mslp,24.0,GraphCast,1,5,0.2,acc_mean
season,MAM,mslp,24.0,HRES,4,5,0.8,acc_mean
season,MAM,mslp,72.0,GraphCast,1,5,0.2,acc_mean
season,MAM,mslp,72.0,HRES,4,5,0.8,acc_mean
season,MAM,mslp,120.0,GraphCast,1,5,0.2,acc_mean
season,MAM,mslp,120.0,HRES,4,5,0.8,acc_mean
season,MAM,mslp,168.0,GraphCast,1,5,0.2,acc_mean
season,MAM,mslp,168.0,HRES,4,5,0.8,acc_mean
season,MAM,t850,24.0,GraphCast,1,5,0.2,acc_mean
season,MAM,t850,24.0,HRES,4,5,0.8,acc_mean
season,MAM,t850,72.0,GraphCast,1,5,0.2,acc_mean
season,MAM,t850,72.0,HRES,4,5,0.8,acc_mean
season,MAM,t850,120.0,GraphCast,1,5,0.2,acc_mean
season,MAM,t850,120.0,HRES,4,5,0.8,acc_mean
season,MAM,t850,168.0,GraphCast,1,5,0.2,acc_mean
season,MAM,t850,168.0,HRES,4,5,0.8,acc_mean
season,MAM,u850,24.0,GraphCast,1,5,0.2,acc_mean
season,MAM,u850,24.0,HRES,4,5,0.8,acc_mean
season,MAM,u850,72.0,GraphCast,1,5,0.2,acc_mean
season,MAM,u850,72.0,HRES,4,5,0.8,acc_mean
season,MAM,u850,120.0,GraphCast,1,5,0.2,acc_mean
season,MAM,u850,120.0,HRES,4,5,0.8,acc_mean
season,MAM,u850,168.0,GraphCast,1,5,0.2,acc_mean
season,MAM,u850,168.0,HRES,4,5,0.8,acc_mean
