window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std,lead_h,tag,bucket,season,start,end
2018-03-01_2018-05-31,z500,HRES,5 days,1,ACC,58,0.9276460669820314,0.9207794417282978,0.9345019059094408,0.9318337905861688,0.0202858360840926,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,2,ACC,60,0.8995676385428834,0.8892307221365452,0.9080271555950048,0.8988206694473746,0.0225006235280415,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,3,ACC,34,0.941481651860554,0.9358378709370112,0.946166068485952,0.9433857301443932,0.01286907748502,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,0,ACC,22,0.8155275939719477,0.8063297934923319,0.8293776110620857,0.8149478773617105,0.0321450706304616,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,1,ACC,58,0.8031582219055358,0.7781060542132158,0.8274976698008543,0.814893868809287,0.0608428646040219,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,2,ACC,60,0.7156743964250064,0.6891036826852482,0.7385330980843926,0.7099763744939678,0.0634390279727363,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,3,ACC,30,0.8343086016348658,0.8181879490121073,0.8453068634512974,0.8332575834558734,0.0280065832831982,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,0,MAE,22,38.76866289560626,37.09102011206126,40.09649504834754,38.71164846826442,2.287969014798067,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,1,MAE,58,37.88782422867673,37.32716773778551,38.4007377665934,37.649436104334754,1.6841272569305483,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,2,MAE,60,38.4447550245556,37.509501727855806,39.62821900095591,38.29800325729408,2.293595650707428,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,3,MAE,42,37.37123531668314,36.793300634862575,37.97909490773345,37.27938879675556,1.7531460414760605,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,0,MAE,22,97.34948040620684,94.94685569018824,99.58306788205176,98.2501083177975,5.450877618077588,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,1,MAE,58,96.83779561954228,94.98911304331972,98.45310197362386,96.59266512029431,5.4846071475630325,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,2,MAE,60,99.82863890995738,95.9723462040386,104.0905015181033,99.05757316285266,9.08366187378515,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,3,MAE,38,93.71332924247616,91.69463131011474,96.05476568198826,92.84425214439143,5.288166827343864,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,0,MAE,22,202.5075891408028,198.87931785754435,209.8922306118751,203.3548322665133,10.960610339920144,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,1,MAE,58,204.0037867423897,199.24026902992347,209.63527981472365,200.92940536622865,18.10782288461556,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,2,MAE,60,206.55603290473493,198.52706388892,216.21098600588437,204.44218918175943,21.118977019508225,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,3,MAE,34,196.53493504927084,189.53936688979704,203.77777587325065,197.84275884133103,16.61886982312615,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,0,MAE,22,335.88883660473084,322.1789747809188,342.65943129116573,338.416632724828,27.45324917616512,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,1,MAE,58,334.3769371137079,322.32066528766546,347.0369056936591,332.4579587118476,36.00709809096497,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,2,MAE,60,342.9901598246316,330.38196414766423,359.5661859966634,337.34358317188685,34.10659816727993,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,3,MAE,30,334.96627140709086,328.2978946435829,345.85925169457926,337.04884998322507,21.74207916089928,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,0,BIAS,22,-6.959194526039406,-8.012739710473037,-5.9530459735491625,-6.950453645382292,2.021881058028628,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,1,BIAS,58,-4.770199331184875,-5.475901727291675,-3.933526441061928,-4.835765537968254,2.2420089932330547,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,2,BIAS,60,-9.065469493811287,-10.696790906126164,-7.755090292845228,-8.75290819157021,3.309903571533596,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,3,BIAS,42,-2.717943260223032,-3.7001576360661623,-1.6833437041764645,-2.490469302120897,2.1923647814435987,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,0,BIAS,22,-12.368024868745186,-14.424426273274117,-10.191828256524122,-12.302907079252275,3.2802369726059424,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,1,BIAS,58,-5.9058431829034905,-7.456471847140865,-4.209348964802767,-4.8528950381979,3.712670189799588,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,2,BIAS,60,-13.519214919235033,-16.694951526804427,-11.119582730516502,-12.614187119165424,6.036513511569131,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,3,BIAS,38,-6.6391335051179805,-8.782665535431233,-4.949986283327026,-6.009259687866155,3.749071273958156,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,0,BIAS,22,-18.578035969008905,-21.85621004461839,-13.899210146630292,-20.28323028599252,5.900349723766056,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,1,BIAS,58,-9.61555229998403,-11.50665377078481,-7.494820685242058,-10.04114163404052,5.3069827380361385,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,2,BIAS,60,-21.173426984153117,-25.23493453175072,-17.576447790314287,-20.17354916726044,8.231259276052597,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,3,BIAS,34,-13.602690155314596,-17.3080316359658,-10.819223445099729,-12.77363588141969,5.628945464997271,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
