tag,bucket,season,requested_start,requested_end,run_root,prerun_date_windows_contains_requested,prerun_observed_date_windows,audit_status,regimes_status,window_validation_status,primary_time_hash,primary_observed_start,primary_observed_end,deterministic_status,growth_status,blocking_status,regime_sensitivity_status,subprocess_returncode,elapsed_seconds,stdout_log,stderr_log,worker_process_status,start,end
SON_2020,season,SON,2020-09-01,2020-11-30,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2020,True,"[[""2020-09-01"", ""2020-11-30""]]",ok,ok,ok,33a9b984655ed6a436b72d8fa026b9df,2020-09-01 00:00:00,2020-11-30 18:00:00,ok,ok,ok,skipped,0.0,1052.91,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2020/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2020/worker_stderr.log,ok,2020-09-01,2020-11-30
DJF_2021,season,DJF,2020-12-01,2021-02-28,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2021,True,"[[""2020-12-01"", ""2021-02-28""]]",ok,ok,ok,19d324586baff2c6c0365ba1bf909e32,2020-12-01 00:00:00,2021-02-28 18:00:00,ok,ok,ok,skipped,0.0,732.56,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2021/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2021/worker_stderr.log,ok,2020-12-01,2021-02-28
MAM_2021,season,MAM,2021-03-01,2021-05-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2021,True,"[[""2021-03-01"", ""2021-05-31""]]",ok,ok,ok,06899a932ec50b0f1bb3172d105a7348,2021-03-01 00:00:00,2021-05-31 18:00:00,ok,ok,ok,skipped,0.0,365.8,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2021/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2021/worker_stderr.log,ok,2021-03-01,2021-05-31
JJA_2021,season,JJA,2021-06-01,2021-08-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2021,True,"[[""2021-06-01"", ""2021-08-31""]]",ok,ok,ok,c6b0a5453c9bb0a3dc6b98906f043687,2021-06-01 00:00:00,2021-08-31 18:00:00,ok,ok,ok,skipped,0.0,357.51,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2021/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2021/worker_stderr.log,ok,2021-06-01,2021-08-31
SON_2021,season,SON,2021-09-01,2021-11-30,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2021,True,"[[""2021-09-01"", ""2021-11-30""]]",ok,ok,ok,e0b4d845dc99abcb85fb4c6d1143e4c7,2021-09-01 00:00:00,2021-11-30 18:00:00,ok,ok,ok,skipped,0.0,329.47,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2021/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2021/worker_stderr.log,ok,2021-09-01,2021-11-30
DJF_2022,season,DJF,2021-12-01,2022-02-28,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2022,True,"[[""2021-12-01"", ""2022-02-28""]]",ok,ok,ok,abd5d355a1a8a87d65367a6b19b8dc08,2021-12-01 00:00:00,2022-02-28 18:00:00,ok,ok,ok,skipped,0.0,361.14,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2022/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2022/worker_stderr.log,ok,2021-12-01,2022-02-28
MAM_2022,season,MAM,2022-03-01,2022-05-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2022,True,"[[""2022-03-01"", ""2022-05-31""]]",ok,ok,ok,81652b53f1656b0a22e8b2aceadfc7b9,2022-03-01 00:00:00,2022-05-31 18:00:00,ok,ok,ok,skipped,0.0,383.86,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2022/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2022/worker_stderr.log,ok,2022-03-01,2022-05-31
JJA_2022,season,JJA,2022-06-01,2022-08-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2022,True,"[[""2022-06-01"", ""2022-08-31""]]",ok,ok,ok,6b4f93f94dd06371457c63b076cd4fb4,2022-06-01 00:00:00,2022-08-31 18:00:00,ok,ok,ok,skipped,0.0,376.59,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2022/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2022/worker_stderr.log,ok,2022-06-01,2022-08-31
SON_2022,season,SON,2022-09-01,2022-11-30,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2022,True,"[[""2022-09-01"", ""2022-11-30""]]",ok,ok,ok,677521cf710f6aacf71e032a83b467e3,2022-09-01 00:00:00,2022-11-30 18:00:00,ok,ok,ok,skipped,0.0,388.51,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2022/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2022/worker_stderr.log,ok,2022-09-01,2022-11-30
2018,year,ALL,2018-01-01,2018-12-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2018,True,"[[""2018-01-01"", ""2018-12-31""]]",ok,ok,ok,a2591f0adee7bd8abf763c78d39090c4,2018-01-01 00:00:00,2018-12-31 18:00:00,ok,ok,ok,ok,0.0,1564.62,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2018/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2018/worker_stderr.log,ok,2018-01-01,2018-12-31
2019,year,ALL,2019-01-01,2019-12-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2019,True,"[[""2019-01-01"", ""2019-12-31""]]",ok,ok,ok,d97d831bf9b5aac258e9d1e4ddc184bc,2019-01-01 00:00:00,2019-12-31 18:00:00,ok,ok,ok,ok,0.0,1788.91,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2019/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2019/worker_stderr.log,ok,2019-01-01,2019-12-31
2020,year,ALL,2020-01-01,2020-12-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2020,True,"[[""2020-01-01"", ""2020-12-31""]]",ok,ok,ok,84ef922b0dfb82f9fe10e7797be5d84b,2020-01-01 00:00:00,2020-12-31 18:00:00,ok,ok,ok,ok,0.0,4603.34,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2020/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2020/worker_stderr.log,ok,2020-01-01,2020-12-31
2021,year,ALL,2021-01-01,2021-12-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2021,True,"[[""2021-01-01"", ""2021-12-31""]]",ok,ok,ok,f85a8afdf7493008e7ae144aebce859e,2021-01-01 00:00:00,2021-12-31 18:00:00,ok,ok,ok,ok,0.0,1655.93,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2021/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2021/worker_stderr.log,ok,2021-01-01,2021-12-31
2022,year,ALL,2022-01-01,2022-12-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2022,True,"[[""2022-01-01"", ""2022-12-31""]]",ok,ok,ok,abcb094f9c440018919d47e8709b8e36,2022-01-01 00:00:00,2022-12-31 18:00:00,ok,ok,ok,ok,0.0,1584.75,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2022/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/2022/worker_stderr.log,ok,2022-01-01,2022-12-31
