bucket,season,model,n_windows,share_positive_penalty,penalty_mean,penalty_ci_lo,penalty_ci_hi
season,DJF,GraphCast,4,0.5,12.931088286607576,10.942684955120626,14.919491618094526
season,DJF,HRES,4,0.75,17.85958916441298,4.777164186540205,29.42408477810322
season,DJF,NeuralGCM,4,0.25,12.177937956649828,-15.512877460439029,39.868753373738684
season,JJA,GraphCast,5,0.2,26.30614763664596,26.30614763664596,26.30614763664596
season,JJA,HRES,5,1.0,13.81480797922984,4.9690833206710066,25.044311227140177
season,JJA,NeuralGCM,5,0.2,13.576144803024022,13.576144803024022,13.576144803024022
season,MAM,GraphCast,5,0.2,38.573073379715254,38.573073379715254,38.573073379715254
season,MAM,HRES,5,0.4,-2.1563566147942765,-9.377400611221082,4.769438006218183
season,MAM,NeuralGCM,5,0.2,17.754704650338226,17.754704650338226,17.754704650338226
season,SON,GraphCast,5,0.2,-8.167624330823116,-35.629951097603566,19.294702435957333
season,SON,HRES,5,0.4,-7.344434291710854,-24.58757477687965,10.576643787860803
season,SON,NeuralGCM,5,0.2,3.1422664201710973,3.1422664201710973,3.1422664201710973
year,ALL,GraphCast,5,0.4,10.067816183920248,-27.333582222442942,34.615611351669884
year,ALL,HRES,5,1.0,14.59396236518064,7.951637029898597,24.068676972167804
year,ALL,NeuralGCM,5,0.2,20.962673126750246,20.962673126750246,20.962673126750246
