window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2019-12-01_2020-02-29,HRES,1 days,49.76633108973813,48.754623529379835,29,151
2019-12-01_2020-02-29,HRES,3 days,135.09753144707048,136.0000548165655,29,147
2019-12-01_2020-02-29,HRES,5 days,294.8332184917457,288.5941329743328,29,143
2019-12-01_2020-02-29,HRES,7 days,516.551236096955,482.8289876933509,29,139
2019-12-01_2020-02-29,GraphCast,1 days,38.95192959843685,38.268494073156084,29,151
2019-12-01_2020-02-29,GraphCast,3 days,118.45213869539641,117.13883655862843,29,147
2019-12-01_2020-02-29,GraphCast,5 days,248.1750863700366,253.10850140161637,29,143
2019-12-01_2020-02-29,GraphCast,7 days,448.85760536725,433.9381137491555,29,139
2019-12-01_2020-02-29,NeuralGCM,1 days,36.93702929665987,37.643232281774544,24,94
2019-12-01_2020-02-29,NeuralGCM,3 days,109.03920383429625,111.98845618589779,24,90
2019-12-01_2020-02-29,NeuralGCM,5 days,237.93184531212935,251.45773798059346,24,86
2019-12-01_2020-02-29,NeuralGCM,7 days,425.7329289110066,441.2458063714456,24,82
