window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2020-09-01_2020-11-30,HRES,1 days,45.93373910002563,45.40629989148713,39,141
2020-09-01_2020-11-30,HRES,3 days,138.1279428304058,132.89572689093964,39,137
2020-09-01_2020-11-30,HRES,5 days,306.3996712276393,294.0391211068136,39,133
2020-09-01_2020-11-30,HRES,7 days,528.2669433405383,502.3354549608185,39,129
2020-09-01_2020-11-30,GraphCast,1 days,39.24687273941317,39.2818838655429,39,141
2020-09-01_2020-11-30,GraphCast,3 days,120.14782338506377,120.21067611579294,39,137
2020-09-01_2020-11-30,GraphCast,5 days,282.27175041614123,255.171374829326,39,133
2020-09-01_2020-11-30,GraphCast,7 days,462.350340821117,443.05563838515974,39,129
2020-09-01_2020-11-30,NeuralGCM,1 days,37.68944070155114,37.42567476119603,39,141
2020-09-01_2020-11-30,NeuralGCM,3 days,112.95431152331425,112.10407456511767,39,137
2020-09-01_2020-11-30,NeuralGCM,5 days,266.3212835339201,250.86557500080303,39,133
2020-09-01_2020-11-30,NeuralGCM,7 days,459.46738544948676,456.3251190293157,39,129
