window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2020-09-01_2020-11-30,HRES,1 days,0.02,67,0.37222222222222223
2020-09-01_2020-11-30,HRES,1 days,0.05,52,0.28888888888888886
2020-09-01_2020-11-30,HRES,1 days,0.1,39,0.21666666666666667
2020-09-01_2020-11-30,HRES,1 days,0.2,15,0.08333333333333333
2020-09-01_2020-11-30,HRES,1 days,0.5,0,0.0
2020-09-01_2020-11-30,HRES,3 days,0.02,67,0.3806818181818182
2020-09-01_2020-11-30,HRES,3 days,0.05,52,0.29545454545454547
2020-09-01_2020-11-30,HRES,3 days,0.1,39,0.2215909090909091
2020-09-01_2020-11-30,HRES,3 days,0.2,15,0.08522727272727272
2020-09-01_2020-11-30,HRES,3 days,0.5,0,0.0
2020-09-01_2020-11-30,HRES,5 days,0.02,67,0.38953488372093026
2020-09-01_2020-11-30,HRES,5 days,0.05,52,0.3023255813953488
2020-09-01_2020-11-30,HRES,5 days,0.1,39,0.22674418604651161
2020-09-01_2020-11-30,HRES,5 days,0.2,15,0.0872093023255814
2020-09-01_2020-11-30,HRES,5 days,0.5,0,0.0
2020-09-01_2020-11-30,HRES,7 days,0.02,67,0.39880952380952384
2020-09-01_2020-11-30,HRES,7 days,0.05,52,0.30952380952380953
2020-09-01_2020-11-30,HRES,7 days,0.1,39,0.23214285714285715
2020-09-01_2020-11-30,HRES,7 days,0.2,15,0.08928571428571429
2020-09-01_2020-11-30,HRES,7 days,0.5,0,0.0
2020-09-01_2020-11-30,GraphCast,1 days,0.02,67,0.37222222222222223
2020-09-01_2020-11-30,GraphCast,1 days,0.05,52,0.28888888888888886
2020-09-01_2020-11-30,GraphCast,1 days,0.1,39,0.21666666666666667
2020-09-01_2020-11-30,GraphCast,1 days,0.2,15,0.08333333333333333
2020-09-01_2020-11-30,GraphCast,1 days,0.5,0,0.0
2020-09-01_2020-11-30,GraphCast,3 days,0.02,67,0.3806818181818182
2020-09-01_2020-11-30,GraphCast,3 days,0.05,52,0.29545454545454547
2020-09-01_2020-11-30,GraphCast,3 days,0.1,39,0.2215909090909091
2020-09-01_2020-11-30,GraphCast,3 days,0.2,15,0.08522727272727272
2020-09-01_2020-11-30,GraphCast,3 days,0.5,0,0.0
2020-09-01_2020-11-30,GraphCast,5 days,0.02,67,0.38953488372093026
2020-09-01_2020-11-30,GraphCast,5 days,0.05,52,0.3023255813953488
2020-09-01_2020-11-30,GraphCast,5 days,0.1,39,0.22674418604651161
2020-09-01_2020-11-30,GraphCast,5 days,0.2,15,0.0872093023255814
2020-09-01_2020-11-30,GraphCast,5 days,0.5,0,0.0
2020-09-01_2020-11-30,GraphCast,7 days,0.02,67,0.39880952380952384
2020-09-01_2020-11-30,GraphCast,7 days,0.05,52,0.30952380952380953
2020-09-01_2020-11-30,GraphCast,7 days,0.1,39,0.23214285714285715
2020-09-01_2020-11-30,GraphCast,7 days,0.2,15,0.08928571428571429
2020-09-01_2020-11-30,GraphCast,7 days,0.5,0,0.0
2020-09-01_2020-11-30,NeuralGCM,1 days,0.02,67,0.37222222222222223
2020-09-01_2020-11-30,NeuralGCM,1 days,0.05,52,0.28888888888888886
2020-09-01_2020-11-30,NeuralGCM,1 days,0.1,39,0.21666666666666667
2020-09-01_2020-11-30,NeuralGCM,1 days,0.2,15,0.08333333333333333
2020-09-01_2020-11-30,NeuralGCM,1 days,0.5,0,0.0
2020-09-01_2020-11-30,NeuralGCM,3 days,0.02,67,0.3806818181818182
2020-09-01_2020-11-30,NeuralGCM,3 days,0.05,52,0.29545454545454547
2020-09-01_2020-11-30,NeuralGCM,3 days,0.1,39,0.2215909090909091
2020-09-01_2020-11-30,NeuralGCM,3 days,0.2,15,0.08522727272727272
2020-09-01_2020-11-30,NeuralGCM,3 days,0.5,0,0.0
2020-09-01_2020-11-30,NeuralGCM,5 days,0.02,67,0.38953488372093026
2020-09-01_2020-11-30,NeuralGCM,5 days,0.05,52,0.3023255813953488
2020-09-01_2020-11-30,NeuralGCM,5 days,0.1,39,0.22674418604651161
2020-09-01_2020-11-30,NeuralGCM,5 days,0.2,15,0.0872093023255814
2020-09-01_2020-11-30,NeuralGCM,5 days,0.5,0,0.0
2020-09-01_2020-11-30,NeuralGCM,7 days,0.02,67,0.39880952380952384
2020-09-01_2020-11-30,NeuralGCM,7 days,0.05,52,0.30952380952380953
2020-09-01_2020-11-30,NeuralGCM,7 days,0.1,39,0.23214285714285715
2020-09-01_2020-11-30,NeuralGCM,7 days,0.2,15,0.08928571428571429
2020-09-01_2020-11-30,NeuralGCM,7 days,0.5,0,0.0
