window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2021-01-01_2021-12-31,6,3,0,547,0.37465753424657533,0.6063977479934692
2021-01-01_2021-12-31,6,3,1,559,0.38287671232876713,0.6063977479934692
2021-01-01_2021-12-31,6,3,2,354,0.24246575342465754,0.6063977479934692
2021-01-01_2021-12-31,6,4,0,549,0.37602739726027395,0.6063977479934692
2021-01-01_2021-12-31,6,4,1,307,0.21027397260273972,0.6063977479934692
2021-01-01_2021-12-31,6,4,2,304,0.20821917808219179,0.6063977479934692
2021-01-01_2021-12-31,6,4,3,300,0.2054794520547945,0.6063977479934692
2021-01-01_2021-12-31,6,5,0,305,0.2089041095890411,0.6063977479934692
2021-01-01_2021-12-31,6,5,1,282,0.19315068493150686,0.6063977479934692
2021-01-01_2021-12-31,6,5,2,402,0.27534246575342464,0.6063977479934692
2021-01-01_2021-12-31,6,5,3,171,0.11712328767123288,0.6063977479934692
2021-01-01_2021-12-31,6,5,4,300,0.2054794520547945,0.6063977479934692
2021-01-01_2021-12-31,6,6,0,306,0.2095890410958904,0.6063977479934692
2021-01-01_2021-12-31,6,6,1,115,0.07876712328767123,0.6063977479934692
2021-01-01_2021-12-31,6,6,2,271,0.18561643835616437,0.6063977479934692
2021-01-01_2021-12-31,6,6,3,299,0.2047945205479452,0.6063977479934692
2021-01-01_2021-12-31,6,6,4,300,0.2054794520547945,0.6063977479934692
2021-01-01_2021-12-31,6,6,5,169,0.11575342465753424,0.6063977479934692
2021-01-01_2021-12-31,8,3,0,558,0.3821917808219178,0.6463382840156555
2021-01-01_2021-12-31,8,3,1,353,0.24178082191780823,0.6463382840156555
2021-01-01_2021-12-31,8,3,2,549,0.37602739726027395,0.6463382840156555
2021-01-01_2021-12-31,8,4,0,321,0.21986301369863015,0.6463382840156555
2021-01-01_2021-12-31,8,4,1,546,0.37397260273972605,0.6463382840156555
2021-01-01_2021-12-31,8,4,2,305,0.2089041095890411,0.6463382840156555
2021-01-01_2021-12-31,8,4,3,288,0.19726027397260273,0.6463382840156555
2021-01-01_2021-12-31,8,5,0,301,0.20616438356164385,0.6463382840156555
2021-01-01_2021-12-31,8,5,1,401,0.27465753424657535,0.6463382840156555
2021-01-01_2021-12-31,8,5,2,326,0.2232876712328767,0.6463382840156555
2021-01-01_2021-12-31,8,5,3,258,0.17671232876712328,0.6463382840156555
2021-01-01_2021-12-31,8,5,4,174,0.11917808219178082,0.6463382840156555
2021-01-01_2021-12-31,8,6,0,170,0.11643835616438356,0.6463382840156555
2021-01-01_2021-12-31,8,6,1,289,0.19794520547945205,0.6463382840156555
2021-01-01_2021-12-31,8,6,2,312,0.2136986301369863,0.6463382840156555
2021-01-01_2021-12-31,8,6,3,172,0.1178082191780822,0.6463382840156555
2021-01-01_2021-12-31,8,6,4,258,0.17671232876712328,0.6463382840156555
2021-01-01_2021-12-31,8,6,5,259,0.1773972602739726,0.6463382840156555
2021-01-01_2021-12-31,10,3,0,558,0.3821917808219178,0.6799741983413696
2021-01-01_2021-12-31,10,3,1,353,0.24178082191780823,0.6799741983413696
2021-01-01_2021-12-31,10,3,2,549,0.37602739726027395,0.6799741983413696
2021-01-01_2021-12-31,10,4,0,546,0.37397260273972605,0.6799741983413696
2021-01-01_2021-12-31,10,4,1,285,0.1952054794520548,0.6799741983413696
2021-01-01_2021-12-31,10,4,2,305,0.2089041095890411,0.6799741983413696
2021-01-01_2021-12-31,10,4,3,324,0.2219178082191781,0.6799741983413696
2021-01-01_2021-12-31,10,5,0,316,0.21643835616438356,0.6799741983413696
2021-01-01_2021-12-31,10,5,1,402,0.27534246575342464,0.6799741983413696
2021-01-01_2021-12-31,10,5,2,327,0.22397260273972602,0.6799741983413696
2021-01-01_2021-12-31,10,5,3,242,0.16575342465753426,0.6799741983413696
2021-01-01_2021-12-31,10,5,4,173,0.1184931506849315,0.6799741983413696
2021-01-01_2021-12-31,10,6,0,312,0.2136986301369863,0.6799741983413696
2021-01-01_2021-12-31,10,6,1,338,0.23150684931506849,0.6799741983413696
