window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2022-01-01_2022-12-31,6,3,0,519,0.35547945205479453,0.6304683089256287
2022-01-01_2022-12-31,6,3,1,379,0.2595890410958904,0.6304683089256287
2022-01-01_2022-12-31,6,3,2,562,0.38493150684931504,0.6304683089256287
2022-01-01_2022-12-31,6,4,0,267,0.18287671232876712,0.6304683089256287
2022-01-01_2022-12-31,6,4,1,483,0.3308219178082192,0.6304683089256287
2022-01-01_2022-12-31,6,4,2,365,0.25,0.6304683089256287
2022-01-01_2022-12-31,6,4,3,345,0.2363013698630137,0.6304683089256287
2022-01-01_2022-12-31,6,5,0,347,0.23767123287671232,0.6304683089256287
2022-01-01_2022-12-31,6,5,1,132,0.09041095890410959,0.6304683089256287
2022-01-01_2022-12-31,6,5,2,364,0.2493150684931507,0.6304683089256287
2022-01-01_2022-12-31,6,5,3,257,0.17602739726027397,0.6304683089256287
2022-01-01_2022-12-31,6,5,4,360,0.2465753424657534,0.6304683089256287
2022-01-01_2022-12-31,6,6,0,131,0.08972602739726028,0.6304683089256287
2022-01-01_2022-12-31,6,6,1,341,0.23356164383561645,0.6304683089256287
2022-01-01_2022-12-31,6,6,2,219,0.15,0.6304683089256287
2022-01-01_2022-12-31,6,6,3,221,0.15136986301369862,0.6304683089256287
2022-01-01_2022-12-31,6,6,4,343,0.23493150684931507,0.6304683089256287
2022-01-01_2022-12-31,6,6,5,205,0.1404109589041096,0.6304683089256287
2022-01-01_2022-12-31,8,3,0,377,0.2582191780821918,0.6693653464317322
2022-01-01_2022-12-31,8,3,1,521,0.35684931506849316,0.6693653464317322
2022-01-01_2022-12-31,8,3,2,562,0.38493150684931504,0.6693653464317322
2022-01-01_2022-12-31,8,4,0,366,0.25068493150684934,0.6693653464317322
2022-01-01_2022-12-31,8,4,1,268,0.18356164383561643,0.6693653464317322
2022-01-01_2022-12-31,8,4,2,345,0.2363013698630137,0.6693653464317322
2022-01-01_2022-12-31,8,4,3,481,0.32945205479452055,0.6693653464317322
2022-01-01_2022-12-31,8,5,0,344,0.2356164383561644,0.6693653464317322
2022-01-01_2022-12-31,8,5,1,128,0.08767123287671233,0.6693653464317322
2022-01-01_2022-12-31,8,5,2,366,0.25068493150684934,0.6693653464317322
2022-01-01_2022-12-31,8,5,3,261,0.17876712328767122,0.6693653464317322
2022-01-01_2022-12-31,8,5,4,361,0.24726027397260275,0.6693653464317322
2022-01-01_2022-12-31,8,6,0,341,0.23356164383561645,0.6693653464317322
2022-01-01_2022-12-31,8,6,1,340,0.2328767123287671,0.6693653464317322
2022-01-01_2022-12-31,8,6,2,224,0.15342465753424658,0.6693653464317322
2022-01-01_2022-12-31,8,6,3,203,0.13904109589041097,0.6693653464317322
2022-01-01_2022-12-31,8,6,4,224,0.15342465753424658,0.6693653464317322
2022-01-01_2022-12-31,8,6,5,128,0.08767123287671233,0.6693653464317322
2022-01-01_2022-12-31,10,3,0,377,0.2582191780821918,0.699389636516571
2022-01-01_2022-12-31,10,3,1,518,0.3547945205479452,0.699389636516571
2022-01-01_2022-12-31,10,3,2,565,0.386986301369863,0.699389636516571
2022-01-01_2022-12-31,10,4,0,269,0.18424657534246575,0.699389636516571
2022-01-01_2022-12-31,10,4,1,481,0.32945205479452055,0.699389636516571
2022-01-01_2022-12-31,10,4,2,343,0.23493150684931507,0.699389636516571
2022-01-01_2022-12-31,10,4,3,367,0.2513698630136986,0.699389636516571
2022-01-01_2022-12-31,10,5,0,368,0.25205479452054796,0.699389636516571
2022-01-01_2022-12-31,10,5,1,371,0.2541095890410959,0.699389636516571
2022-01-01_2022-12-31,10,5,2,128,0.08767123287671233,0.699389636516571
2022-01-01_2022-12-31,10,5,3,253,0.17328767123287672,0.699389636516571
2022-01-01_2022-12-31,10,5,4,340,0.2328767123287671,0.699389636516571
2022-01-01_2022-12-31,10,6,0,126,0.0863013698630137,0.699389636516571
