window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2021-01-01_2021-12-31,HRES,1 days,46.85167091733589,46.733476724230506,222,506
2021-01-01_2021-12-31,HRES,3 days,141.597089431099,139.74854884782062,220,504
2021-01-01_2021-12-31,HRES,5 days,319.37829721782725,310.54242013175434,216,504
2021-01-01_2021-12-31,HRES,7 days,535.6121061180003,527.5481638088996,212,504
2021-01-01_2021-12-31,GraphCast,1 days,38.51755880735731,39.30178817711662,11,51
2021-01-01_2021-12-31,GraphCast,3 days,111.6563572139114,120.71971243946957,9,53
2021-01-01_2021-12-31,GraphCast,5 days,226.80280118823924,262.97208477750956,5,57
2021-01-01_2021-12-31,GraphCast,7 days,422.94572819153836,450.27931041398136,2,60
2021-01-01_2021-12-31,NeuralGCM,1 days,,,0,0
2021-01-01_2021-12-31,NeuralGCM,3 days,,,0,0
2021-01-01_2021-12-31,NeuralGCM,5 days,,,0,0
2021-01-01_2021-12-31,NeuralGCM,7 days,,,0,0
