window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2021-01-01_2021-12-31,HRES,1 days,0.02,342,0.4697802197802198
2021-01-01_2021-12-31,HRES,1 days,0.05,290,0.3983516483516483
2021-01-01_2021-12-31,HRES,1 days,0.1,222,0.30494505494505497
2021-01-01_2021-12-31,HRES,1 days,0.2,82,0.11263736263736264
2021-01-01_2021-12-31,HRES,1 days,0.5,1,0.0013736263736263737
2021-01-01_2021-12-31,HRES,3 days,0.02,339,0.468232044198895
2021-01-01_2021-12-31,HRES,3 days,0.05,288,0.39779005524861877
2021-01-01_2021-12-31,HRES,3 days,0.1,220,0.30386740331491713
2021-01-01_2021-12-31,HRES,3 days,0.2,81,0.11187845303867404
2021-01-01_2021-12-31,HRES,3 days,0.5,1,0.0013812154696132596
2021-01-01_2021-12-31,HRES,5 days,0.02,335,0.4652777777777778
2021-01-01_2021-12-31,HRES,5 days,0.05,284,0.39444444444444443
2021-01-01_2021-12-31,HRES,5 days,0.1,216,0.3
2021-01-01_2021-12-31,HRES,5 days,0.2,77,0.10694444444444444
2021-01-01_2021-12-31,HRES,5 days,0.5,1,0.001388888888888889
2021-01-01_2021-12-31,HRES,7 days,0.02,331,0.4622905027932961
2021-01-01_2021-12-31,HRES,7 days,0.05,280,0.39106145251396646
2021-01-01_2021-12-31,HRES,7 days,0.1,212,0.29608938547486036
2021-01-01_2021-12-31,HRES,7 days,0.2,75,0.10474860335195531
2021-01-01_2021-12-31,HRES,7 days,0.5,1,0.0013966480446927375
2021-01-01_2021-12-31,GraphCast,1 days,0.02,20,0.3225806451612903
2021-01-01_2021-12-31,GraphCast,1 days,0.05,16,0.25806451612903225
2021-01-01_2021-12-31,GraphCast,1 days,0.1,11,0.1774193548387097
2021-01-01_2021-12-31,GraphCast,1 days,0.2,7,0.11290322580645161
2021-01-01_2021-12-31,GraphCast,1 days,0.5,0,0.0
2021-01-01_2021-12-31,GraphCast,3 days,0.02,17,0.27419354838709675
2021-01-01_2021-12-31,GraphCast,3 days,0.05,14,0.22580645161290322
2021-01-01_2021-12-31,GraphCast,3 days,0.1,9,0.14516129032258066
2021-01-01_2021-12-31,GraphCast,3 days,0.2,6,0.0967741935483871
2021-01-01_2021-12-31,GraphCast,3 days,0.5,0,0.0
2021-01-01_2021-12-31,GraphCast,5 days,0.02,13,0.20967741935483872
2021-01-01_2021-12-31,GraphCast,5 days,0.05,10,0.16129032258064516
2021-01-01_2021-12-31,GraphCast,5 days,0.1,5,0.08064516129032258
2021-01-01_2021-12-31,GraphCast,5 days,0.2,2,0.03225806451612903
2021-01-01_2021-12-31,GraphCast,5 days,0.5,0,0.0
2021-01-01_2021-12-31,GraphCast,7 days,0.02,11,0.1774193548387097
2021-01-01_2021-12-31,GraphCast,7 days,0.05,7,0.11290322580645161
2021-01-01_2021-12-31,GraphCast,7 days,0.1,2,0.03225806451612903
2021-01-01_2021-12-31,GraphCast,7 days,0.2,0,0.0
2021-01-01_2021-12-31,GraphCast,7 days,0.5,0,0.0
2021-01-01_2021-12-31,NeuralGCM,1 days,0.02,0,
2021-01-01_2021-12-31,NeuralGCM,1 days,0.05,0,
2021-01-01_2021-12-31,NeuralGCM,1 days,0.1,0,
2021-01-01_2021-12-31,NeuralGCM,1 days,0.2,0,
2021-01-01_2021-12-31,NeuralGCM,1 days,0.5,0,
2021-01-01_2021-12-31,NeuralGCM,3 days,0.02,0,
2021-01-01_2021-12-31,NeuralGCM,3 days,0.05,0,
2021-01-01_2021-12-31,NeuralGCM,3 days,0.1,0,
2021-01-01_2021-12-31,NeuralGCM,3 days,0.2,0,
2021-01-01_2021-12-31,NeuralGCM,3 days,0.5,0,
2021-01-01_2021-12-31,NeuralGCM,5 days,0.02,0,
2021-01-01_2021-12-31,NeuralGCM,5 days,0.05,0,
2021-01-01_2021-12-31,NeuralGCM,5 days,0.1,0,
2021-01-01_2021-12-31,NeuralGCM,5 days,0.2,0,
2021-01-01_2021-12-31,NeuralGCM,5 days,0.5,0,
2021-01-01_2021-12-31,NeuralGCM,7 days,0.02,0,
2021-01-01_2021-12-31,NeuralGCM,7 days,0.05,0,
2021-01-01_2021-12-31,NeuralGCM,7 days,0.1,0,
2021-01-01_2021-12-31,NeuralGCM,7 days,0.2,0,
2021-01-01_2021-12-31,NeuralGCM,7 days,0.5,0,
