window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2020-12-01_2021-02-28,z500,HRES,1 days,0.5,0.9755579590222823,0.013667098581090503
2020-12-01_2021-02-28,z500,HRES,1 days,1.5,0.9897089806700371,231895.05075186183
2020-12-01_2021-02-28,z500,HRES,1 days,2.5,0.9886446542106245,112799.99440895575
2020-12-01_2021-02-28,z500,HRES,1 days,3.5,0.9783439970821077,114806.00717215345
2020-12-01_2021-02-28,z500,HRES,1 days,4.5,0.9792776764628753,84296.8805734564
2020-12-01_2021-02-28,z500,HRES,1 days,5.5,0.9813141447829679,72715.54750292834
2020-12-01_2021-02-28,z500,HRES,1 days,6.5,0.985851725984559,63057.908618412366
2020-12-01_2021-02-28,z500,HRES,1 days,7.5,0.9863647075750175,51298.45495021752
2020-12-01_2021-02-28,z500,HRES,1 days,8.5,0.9858898259311236,46331.92324595523
2020-12-01_2021-02-28,z500,HRES,1 days,9.5,0.9806872866209574,41205.19800656731
2020-12-01_2021-02-28,z500,HRES,1 days,10.5,0.9770469412455615,36050.56404667009
2020-12-01_2021-02-28,z500,HRES,1 days,11.5,0.9772469312064374,33250.486470962926
2020-12-01_2021-02-28,z500,HRES,1 days,12.5,0.9827895546127012,28828.952016950585
2020-12-01_2021-02-28,z500,HRES,1 days,13.5,0.9843568372557644,26117.080806872164
2020-12-01_2021-02-28,z500,HRES,1 days,14.5,0.9913625837559291,23515.631825658933
2020-12-01_2021-02-28,z500,HRES,1 days,15.5,0.9952991834676401,21204.054711368106
2020-12-01_2021-02-28,z500,HRES,1 days,16.5,0.9934270149582035,19419.1284516994
2020-12-01_2021-02-28,z500,HRES,1 days,17.5,0.9944987239086319,17521.653660425345
2020-12-01_2021-02-28,z500,HRES,1 days,18.5,1.0039549695653693,16359.95374261062
2020-12-01_2021-02-28,z500,HRES,1 days,19.5,1.0027975857754778,15076.462964301083
2020-12-01_2021-02-28,z500,HRES,1 days,20.5,1.0040643570509313,14103.12273874565
2020-12-01_2021-02-28,z500,HRES,1 days,21.5,1.0074426756890993,12824.417567659217
2020-12-01_2021-02-28,z500,HRES,1 days,22.5,1.0062624589183213,11912.377094414043
2020-12-01_2021-02-28,z500,HRES,1 days,23.5,1.0052534171147027,11187.912931007388
2020-12-01_2021-02-28,z500,HRES,1 days,24.5,1.008131785035082,10399.714860755654
2020-12-01_2021-02-28,z500,HRES,1 days,25.5,1.0003300592642945,9598.999383997612
2020-12-01_2021-02-28,z500,HRES,1 days,26.5,0.9993274950780481,8989.089114000544
