window,model,lead,div_rmse_mean,vort_rmse_mean
2020-12-01_2021-02-28,HRES,1 days,6.017862916804245e-06,9.808108417404254e-06
2020-12-01_2021-02-28,HRES,3 days,7.997458454466174e-06,1.712820962589959e-05
2020-12-01_2021-02-28,HRES,5 days,9.35867266088772e-06,2.3393094375454735e-05
2020-12-01_2021-02-28,HRES,7 days,1.0244849530508307e-05,2.756863696188762e-05
2020-12-01_2021-02-28,GraphCast,1 days,4.592165780308108e-06,7.366380211573025e-06
2020-12-01_2021-02-28,GraphCast,3 days,6.3368714133362465e-06,1.376837861126504e-05
2020-12-01_2021-02-28,GraphCast,5 days,7.527300437575848e-06,1.9133107307193626e-05
2020-12-01_2021-02-28,GraphCast,7 days,8.493804030073682e-06,2.3260142408764293e-05
2020-12-01_2021-02-28,NeuralGCM,1 days,4.983784659856317e-06,7.738937100207214e-06
2020-12-01_2021-02-28,NeuralGCM,3 days,6.7406537398361694e-06,1.444939337471597e-05
2020-12-01_2021-02-28,NeuralGCM,5 days,7.989636981508112e-06,2.008657043106934e-05
2020-12-01_2021-02-28,NeuralGCM,7 days,8.895718043026681e-06,2.44888431480434e-05
