window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2020-06-01_2020-08-31,HRES,1 days,46.08891641469651,46.39598707798495,43,139
2020-06-01_2020-08-31,HRES,3 days,136.11777708950711,136.07683899314873,39,139
2020-06-01_2020-08-31,HRES,5 days,318.5190562730588,299.2902387112376,39,135
2020-06-01_2020-08-31,HRES,7 days,539.8726588193061,505.13110467118815,39,131
2020-06-01_2020-08-31,GraphCast,1 days,39.65114430335324,40.64231364575998,43,139
2020-06-01_2020-08-31,GraphCast,3 days,126.67084367144092,127.11563148048657,39,139
2020-06-01_2020-08-31,GraphCast,5 days,291.03579666833866,275.31002678564573,39,135
2020-06-01_2020-08-31,GraphCast,7 days,485.7782026876213,459.4720550509753,39,131
2020-06-01_2020-08-31,NeuralGCM,1 days,38.371720677816135,38.98417760082717,43,139
2020-06-01_2020-08-31,NeuralGCM,3 days,120.58600577633325,116.69110355779391,39,139
2020-06-01_2020-08-31,NeuralGCM,5 days,284.636060947705,266.39821437598533,39,135
2020-06-01_2020-08-31,NeuralGCM,7 days,474.8718660799753,461.29572127695127,39,131
