window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2019-12-01_2020-02-29,HRES,1 days,0,368.4373757981639,50.23182082366769,32
2019-12-01_2020-02-29,HRES,1 days,1,350.3108816754156,48.18518850533297,39
2019-12-01_2020-02-29,HRES,1 days,2,361.2809007332076,46.49194620194327,44
2019-12-01_2020-02-29,HRES,1 days,3,380.0822940893465,50.412399334155644,64
2019-12-01_2020-02-29,HRES,3 days,0,371.4991674219407,134.58631038840332,32
2019-12-01_2020-02-29,HRES,3 days,1,355.87406661376747,135.3309149799172,39
2019-12-01_2020-02-29,HRES,3 days,2,358.6050931440745,135.8038290030546,40
2019-12-01_2020-02-29,HRES,3 days,3,381.4359957984192,136.83143537858214,64
2019-12-01_2020-02-29,HRES,5 days,0,399.5349328747201,296.47740083524957,32
2019-12-01_2020-02-29,HRES,5 days,1,385.0408344528847,290.9773644468284,39
2019-12-01_2020-02-29,HRES,5 days,2,383.5459028967088,276.21482708324675,36
2019-12-01_2020-02-29,HRES,5 days,3,416.16229227060654,293.1840892086843,64
2019-12-01_2020-02-29,HRES,7 days,0,479.68097889712783,481.0122540369441,32
2019-12-01_2020-02-29,HRES,7 days,1,467.0674203211861,489.94909567369,39
2019-12-01_2020-02-29,HRES,7 days,2,467.41619403900825,460.36589693301215,32
2019-12-01_2020-02-29,HRES,7 days,3,501.13105071736504,506.2614637022177,64
2019-12-01_2020-02-29,GraphCast,1 days,0,370.0414833990829,38.690698310062395,32
2019-12-01_2020-02-29,GraphCast,1 days,1,350.9367667100789,38.1096753287217,39
2019-12-01_2020-02-29,GraphCast,1 days,2,360.91268894491253,35.85521230569614,44
2019-12-01_2020-02-29,GraphCast,1 days,3,380.88298806159156,40.16069259223077,64
2019-12-01_2020-02-29,GraphCast,3 days,0,358.28324934364264,117.8970661148725,32
2019-12-01_2020-02-29,GraphCast,3 days,1,343.4462210559428,117.83904514389396,39
2019-12-01_2020-02-29,GraphCast,3 days,2,343.53494489839625,110.00789250565289,40
2019-12-01_2020-02-29,GraphCast,3 days,3,368.9669648459506,121.49638323852065,64
2019-12-01_2020-02-29,GraphCast,5 days,0,355.1489228319378,255.17276743567277,32
2019-12-01_2020-02-29,GraphCast,5 days,1,345.9484370108598,250.25675205019243,39
2019-12-01_2020-02-29,GraphCast,5 days,2,338.4431723062355,232.8476352042369,36
2019-12-01_2020-02-29,GraphCast,5 days,3,374.8895930592862,263.29201272978764,64
2019-12-01_2020-02-29,GraphCast,7 days,0,383.48304177030354,451.85467029507697,32
2019-12-01_2020-02-29,GraphCast,7 days,1,386.63772662461514,429.2288190040737,39
2019-12-01_2020-02-29,GraphCast,7 days,2,382.20496467167646,407.9504737765856,32
2019-12-01_2020-02-29,GraphCast,7 days,3,414.0897595460895,448.0098334617844,64
2019-12-01_2020-02-29,NeuralGCM,1 days,0,368.4279504639377,37.05135748600243,32
2019-12-01_2020-02-29,NeuralGCM,1 days,1,351.30972766243417,36.04106556691481,22
2019-12-01_2020-02-29,NeuralGCM,1 days,3,380.06225853373303,38.22508836847564,63
2019-12-01_2020-02-29,NeuralGCM,3 days,0,367.43045951351496,109.20755953621781,32
2019-12-01_2020-02-29,NeuralGCM,3 days,1,351.8786084283329,108.3773447558358,22
2019-12-01_2020-02-29,NeuralGCM,3 days,3,379.46667132961153,113.61597431610922,59
2019-12-01_2020-02-29,NeuralGCM,5 days,0,382.71965026920066,244.89966232929822,32
2019-12-01_2020-02-29,NeuralGCM,5 days,1,362.9690235992269,239.10069473313072,22
2019-12-01_2020-02-29,NeuralGCM,5 days,3,399.61285324542763,254.26295134206651,55
2019-12-01_2020-02-29,NeuralGCM,7 days,0,430.1418006162471,435.73303322240315,32
2019-12-01_2020-02-29,NeuralGCM,7 days,1,428.01241584030197,427.66371738576487,22
2019-12-01_2020-02-29,NeuralGCM,7 days,3,465.7532210524158,443.22476097536463,51
