dataset,variable_key,lead_hours,n_valid_times,forecast_shape,truth_shape,status
graphcast_2020_240,z500,24,180,180x240x121,180x240x121,ok
graphcast_2020_240,z500,72,176,176x240x121,176x240x121,ok
graphcast_2020_240,z500,120,172,172x240x121,172x240x121,ok
graphcast_2020_240,z500,168,168,168x240x121,168x240x121,ok
graphcast_2020_240,t850,24,180,180x240x121,180x240x121,ok
graphcast_2020_240,t850,72,176,176x240x121,176x240x121,ok
graphcast_2020_240,t850,120,172,172x240x121,172x240x121,ok
graphcast_2020_240,t850,168,168,168x240x121,168x240x121,ok
graphcast_2020_240,u850,24,180,180x240x121,180x240x121,ok
graphcast_2020_240,u850,72,176,176x240x121,176x240x121,ok
graphcast_2020_240,u850,120,172,172x240x121,172x240x121,ok
graphcast_2020_240,u850,168,168,168x240x121,168x240x121,ok
graphcast_2020_240,v850,24,180,180x240x121,180x240x121,ok
graphcast_2020_240,v850,72,176,176x240x121,176x240x121,ok
graphcast_2020_240,v850,120,172,172x240x121,172x240x121,ok
graphcast_2020_240,v850,168,168,168x240x121,168x240x121,ok
graphcast_2020_240,mslp,24,180,180x240x121,180x240x121,ok
graphcast_2020_240,mslp,72,176,176x240x121,176x240x121,ok
graphcast_2020_240,mslp,120,172,172x240x121,172x240x121,ok
graphcast_2020_240,mslp,168,168,168x240x121,168x240x121,ok
hres_0012_240,z500,24,180,180x240x121,180x240x121,ok
hres_0012_240,z500,72,176,176x240x121,176x240x121,ok
hres_0012_240,z500,120,172,172x240x121,172x240x121,ok
hres_0012_240,z500,168,168,168x240x121,168x240x121,ok
hres_0012_240,t850,24,180,180x240x121,180x240x121,ok
hres_0012_240,t850,72,176,176x240x121,176x240x121,ok
hres_0012_240,t850,120,172,172x240x121,172x240x121,ok
hres_0012_240,t850,168,168,168x240x121,168x240x121,ok
hres_0012_240,u850,24,180,180x240x121,180x240x121,ok
hres_0012_240,u850,72,176,176x240x121,176x240x121,ok
hres_0012_240,u850,120,172,172x240x121,172x240x121,ok
hres_0012_240,u850,168,168,168x240x121,168x240x121,ok
hres_0012_240,v850,24,180,180x240x121,180x240x121,ok
hres_0012_240,v850,72,176,176x240x121,176x240x121,ok
hres_0012_240,v850,120,172,172x240x121,172x240x121,ok
hres_0012_240,v850,168,168,168x240x121,168x240x121,ok
hres_0012_240,mslp,24,180,180x240x121,180x240x121,ok
hres_0012_240,mslp,72,176,176x240x121,176x240x121,ok
hres_0012_240,mslp,120,172,172x240x121,172x240x121,ok
hres_0012_240,mslp,168,168,168x240x121,168x240x121,ok
neuralgcm_det_2020_240,z500,24,118,118x240x121,118x240x121,ok
neuralgcm_det_2020_240,z500,72,114,114x240x121,114x240x121,ok
neuralgcm_det_2020_240,z500,120,110,110x240x121,110x240x121,ok
neuralgcm_det_2020_240,z500,168,106,106x240x121,106x240x121,ok
neuralgcm_det_2020_240,t850,24,118,118x240x121,118x240x121,ok
neuralgcm_det_2020_240,t850,72,114,114x240x121,114x240x121,ok
neuralgcm_det_2020_240,t850,120,110,110x240x121,110x240x121,ok
neuralgcm_det_2020_240,t850,168,106,106x240x121,106x240x121,ok
neuralgcm_det_2020_240,u850,24,118,118x240x121,118x240x121,ok
neuralgcm_det_2020_240,u850,72,114,114x240x121,114x240x121,ok
neuralgcm_det_2020_240,u850,120,110,110x240x121,110x240x121,ok
neuralgcm_det_2020_240,u850,168,106,106x240x121,106x240x121,ok
neuralgcm_det_2020_240,v850,24,118,118x240x121,118x240x121,ok
neuralgcm_det_2020_240,v850,72,114,114x240x121,114x240x121,ok
neuralgcm_det_2020_240,v850,120,110,110x240x121,110x240x121,ok
neuralgcm_det_2020_240,v850,168,106,106x240x121,106x240x121,ok
