window,model,lead,div_rmse_mean,vort_rmse_mean
2018-03-01_2018-05-31,HRES,1 days,6.339070426855293e-06,1.0351860888050683e-05
2018-03-01_2018-05-31,HRES,3 days,8.421017886324887e-06,1.834144590958446e-05
2018-03-01_2018-05-31,HRES,5 days,9.83004961005264e-06,2.4887729207662587e-05
2018-03-01_2018-05-31,HRES,7 days,1.0749696834614847e-05,2.920238411810887e-05
2018-03-01_2018-05-31,GraphCast,1 days,,
2018-03-01_2018-05-31,GraphCast,3 days,,
2018-03-01_2018-05-31,GraphCast,5 days,,
2018-03-01_2018-05-31,GraphCast,7 days,,
2018-03-01_2018-05-31,NeuralGCM,1 days,,
2018-03-01_2018-05-31,NeuralGCM,3 days,,
2018-03-01_2018-05-31,NeuralGCM,5 days,,
2018-03-01_2018-05-31,NeuralGCM,7 days,,
