window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2019-01-01_2019-12-31,HRES,1 days,EuroAtlantic,0.03968063186813187,0.1625,0.2206249999999997,0.4875,728
2019-01-01_2019-12-31,HRES,1 days,Pacific,0.03780906593406593,0.15,0.2,0.4375,728
2019-01-01_2019-12-31,HRES,3 days,EuroAtlantic,0.03945096685082873,0.15875000000000056,0.2125,0.4875,724
2019-01-01_2019-12-31,HRES,3 days,Pacific,0.03801795580110497,0.15,0.2,0.4375,724
2019-01-01_2019-12-31,HRES,5 days,EuroAtlantic,0.03855902777777778,0.15,0.2125,0.4875,720
2019-01-01_2019-12-31,HRES,5 days,Pacific,0.03822916666666666,0.15,0.2,0.4375,720
2019-01-01_2019-12-31,HRES,7 days,EuroAtlantic,0.037657122905027936,0.15,0.2125,0.4875,716
2019-01-01_2019-12-31,HRES,7 days,Pacific,0.038442737430167594,0.15,0.2,0.4375,716
2019-01-01_2019-12-31,GraphCast,1 days,EuroAtlantic,0.041805555555555554,0.15,0.20687499999999998,0.3375,90
2019-01-01_2019-12-31,GraphCast,1 days,Pacific,0.016944444444444443,0.0887500000000001,0.125,0.225,90
2019-01-01_2019-12-31,GraphCast,3 days,EuroAtlantic,0.043750000000000004,0.15,0.209375,0.3375,86
2019-01-01_2019-12-31,GraphCast,3 days,Pacific,0.017732558139534886,0.09375,0.125,0.225,86
2019-01-01_2019-12-31,GraphCast,5 days,EuroAtlantic,0.04405487804878049,0.14750000000000013,0.21187500000000004,0.3375,82
2019-01-01_2019-12-31,GraphCast,5 days,Pacific,0.018597560975609755,0.09875000000000007,0.125,0.225,82
2019-01-01_2019-12-31,GraphCast,7 days,EuroAtlantic,0.03381410256410257,0.11624999999999996,0.1518749999999999,0.225,78
2019-01-01_2019-12-31,GraphCast,7 days,Pacific,0.019551282051282055,0.1,0.125,0.225,78
2019-01-01_2019-12-31,NeuralGCM,1 days,EuroAtlantic,,,,,0
2019-01-01_2019-12-31,NeuralGCM,1 days,Pacific,,,,,0
2019-01-01_2019-12-31,NeuralGCM,3 days,EuroAtlantic,,,,,0
2019-01-01_2019-12-31,NeuralGCM,3 days,Pacific,,,,,0
2019-01-01_2019-12-31,NeuralGCM,5 days,EuroAtlantic,,,,,0
2019-01-01_2019-12-31,NeuralGCM,5 days,Pacific,,,,,0
2019-01-01_2019-12-31,NeuralGCM,7 days,EuroAtlantic,,,,,0
2019-01-01_2019-12-31,NeuralGCM,7 days,Pacific,,,,,0
