workflow,window,model,lead,error
growth,2021-09-01_2021-11-30,GraphCast,1 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2021-09-01_2021-11-30,GraphCast,3 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2021-09-01_2021-11-30,GraphCast,5 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2021-09-01_2021-11-30,GraphCast,7 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2021-09-01_2021-11-30,NeuralGCM,1 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2021-09-01_2021-11-30,NeuralGCM,3 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2021-09-01_2021-11-30,NeuralGCM,5 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
growth,2021-09-01_2021-11-30,NeuralGCM,7 days,"No common valid_time values across lagged growth, forecast error, and regime labels."
