window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2021-09-01_2021-11-30,HRES,1 days,0,365.4782598379809,46.282082321250506,29
2021-09-01_2021-11-30,HRES,1 days,1,390.24418601382035,45.111284380658034,58
2021-09-01_2021-11-30,HRES,1 days,2,370.8105021912884,46.265076339195254,51
2021-09-01_2021-11-30,HRES,1 days,3,370.9022880341134,46.336940243351556,41
2021-09-01_2021-11-30,HRES,3 days,0,370.0050151883321,131.5499391802736,29
2021-09-01_2021-11-30,HRES,3 days,1,394.9836228998334,142.6032325024674,54
2021-09-01_2021-11-30,HRES,3 days,2,376.02234265880065,128.20762266917671,51
2021-09-01_2021-11-30,HRES,3 days,3,378.8852988047154,135.74256259868298,41
2021-09-01_2021-11-30,HRES,5 days,0,395.5472694424582,289.66109092030047,29
2021-09-01_2021-11-30,HRES,5 days,1,427.7702199075978,312.3717190260314,50
2021-09-01_2021-11-30,HRES,5 days,2,404.111750407299,277.5584409798565,51
2021-09-01_2021-11-30,HRES,5 days,3,412.1654352263794,295.3504171159178,41
2021-09-01_2021-11-30,HRES,7 days,0,495.7263918667298,519.8570153053925,29
2021-09-01_2021-11-30,HRES,7 days,1,519.4207514905995,525.2811321893812,46
2021-09-01_2021-11-30,HRES,7 days,2,499.11090394691416,482.7749947972455,51
2021-09-01_2021-11-30,HRES,7 days,3,508.8403800484225,497.55242258483867,41
