window,model,lead,div_rmse_mean,vort_rmse_mean
2022-01-01_2022-12-31,HRES,1 days,6.347408781701298e-06,1.0229314820185217e-05
2022-01-01_2022-12-31,HRES,3 days,8.279281235501079e-06,1.767293673539283e-05
2022-01-01_2022-12-31,HRES,5 days,9.623651296290455e-06,2.3965491405547962e-05
2022-01-01_2022-12-31,HRES,7 days,1.0490397397393617e-05,2.8077067617074956e-05
2022-01-01_2022-12-31,GraphCast,1 days,,
2022-01-01_2022-12-31,GraphCast,3 days,,
2022-01-01_2022-12-31,GraphCast,5 days,,
2022-01-01_2022-12-31,GraphCast,7 days,,
2022-01-01_2022-12-31,NeuralGCM,1 days,,
2022-01-01_2022-12-31,NeuralGCM,3 days,,
2022-01-01_2022-12-31,NeuralGCM,5 days,,
2022-01-01_2022-12-31,NeuralGCM,7 days,,
