window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-01-01_2022-12-31,z500,HRES,1 days,0,RMSE,181,46.451767706212465,45.954041434177775,46.958334964389636,46.01682390522182,2.3198903287660495
2022-01-01_2022-12-31,z500,HRES,1 days,1,RMSE,133,46.82927060342612,46.2624116215627,47.30950298535348,46.72314815251363,2.287258838184265
2022-01-01_2022-12-31,z500,HRES,1 days,2,RMSE,173,46.5200700341767,45.89529257449007,47.05451547590361,46.13944967925079,2.490034383608606
2022-01-01_2022-12-31,z500,HRES,1 days,3,RMSE,241,47.200687178451304,46.78204749405319,47.65269068220036,47.12359221701166,2.3470493205250085
2022-01-01_2022-12-31,z500,HRES,3 days,0,RMSE,177,135.4865891156194,133.02017897032667,137.9638876686153,133.90808421360597,11.632921998319615
2022-01-01_2022-12-31,z500,HRES,3 days,1,RMSE,133,139.61671890945462,136.0084780643797,143.80790099783678,137.67192489026823,13.53939085908859
2022-01-01_2022-12-31,z500,HRES,3 days,2,RMSE,173,137.74546517742056,135.3538390855169,140.08147360885687,136.2591184959331,10.958604380928577
2022-01-01_2022-12-31,z500,HRES,3 days,3,RMSE,241,139.5858337569056,137.09874271522108,142.16984303869637,139.15155240277628,12.766252452036461
2022-01-01_2022-12-31,z500,HRES,5 days,0,RMSE,173,293.5373963182428,286.46638649042615,300.54210781233763,289.59313290245876,31.10490663849762
2022-01-01_2022-12-31,z500,HRES,5 days,1,RMSE,133,313.5471935308568,304.0588442352189,324.4333209335043,311.42928672897904,36.94383507106837
2022-01-01_2022-12-31,z500,HRES,5 days,2,RMSE,173,308.71138113701016,299.7196347310303,315.29356516886025,299.6641123660257,39.10879574404002
2022-01-01_2022-12-31,z500,HRES,5 days,3,RMSE,241,307.22579189541705,300.09046077665863,315.2193144086541,304.2741453721718,36.941539915331504
2022-01-01_2022-12-31,z500,HRES,7 days,0,RMSE,169,499.04860335124704,485.07398397118067,513.3100549787575,497.6754296670136,55.88060789259136
2022-01-01_2022-12-31,z500,HRES,7 days,1,RMSE,133,541.1932521441335,524.185791723369,556.692477109254,536.8854645171743,60.79927065043543
2022-01-01_2022-12-31,z500,HRES,7 days,2,RMSE,173,527.0665623717327,510.9308478573508,540.8582311591293,525.3301632937032,65.8124402813522
2022-01-01_2022-12-31,z500,HRES,7 days,3,RMSE,241,513.4147235878164,501.402708344766,526.6841244423531,506.4453392352786,64.24778300160504
2022-01-01_2022-12-31,z500,HRES,1 days,0,ACC,181,0.9992660591167354,0.9992350659733633,0.9992953892094234,0.9992777396788343,0.00011443002740583758
2022-01-01_2022-12-31,z500,HRES,1 days,1,ACC,133,0.9984894827059428,0.9984024636835146,0.9985641139012673,0.9985320942671692,0.00023994391748894132
