window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2020-01-01_2020-12-31,HRES,1 days,47.29033818771719,47.02805533645174,211,519
2020-01-01_2020-12-31,HRES,3 days,139.40160959412694,135.4985937355968,211,515
2020-01-01_2020-12-31,HRES,5 days,316.9227790896639,298.02506126877677,211,511
2020-01-01_2020-12-31,HRES,7 days,541.3025798201812,508.97276889615694,211,507
2020-01-01_2020-12-31,GraphCast,1 days,39.93199165987964,39.62993867613181,211,519
2020-01-01_2020-12-31,GraphCast,3 days,125.64174973781132,122.86831929768596,211,515
2020-01-01_2020-12-31,GraphCast,5 days,283.21887298057095,267.5634332504278,211,511
2020-01-01_2020-12-31,GraphCast,7 days,488.87699043431047,454.2613790826406,211,507
2020-01-01_2020-12-31,NeuralGCM,1 days,37.94266976677176,37.868333311910924,211,519
2020-01-01_2020-12-31,NeuralGCM,3 days,117.70934357672927,114.07307165026549,211,515
2020-01-01_2020-12-31,NeuralGCM,5 days,274.80087511346227,260.6138471829266,211,511
2020-01-01_2020-12-31,NeuralGCM,7 days,480.22277346399295,459.2601003372427,211,507
