hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
160,8,3,559,0.9523809523809523,0.018404907975460124,0.935672514619883,0.9702380952380952,168,163,2020-01-01_2020-12-31,HRES,1 days,EuroAtlantic
54,1,5,670,0.9818181818181818,0.0847457627118644,0.9,1.0727272727272728,55,59,2020-01-01_2020-12-31,HRES,1 days,Pacific
157,11,10,548,0.9345238095238095,0.059880239520958084,0.8820224719101124,0.9940476190476191,168,167,2020-01-01_2020-12-31,HRES,3 days,EuroAtlantic
48,7,3,668,0.8727272727272727,0.058823529411764705,0.8275862068965517,0.9272727272727272,55,51,2020-01-01_2020-12-31,HRES,3 days,Pacific
129,39,17,537,0.7678571428571429,0.11643835616438356,0.6972972972972973,0.8690476190476191,168,146,2020-01-01_2020-12-31,HRES,5 days,EuroAtlantic
39,16,17,650,0.7090909090909091,0.30357142857142855,0.5416666666666666,1.018181818181818,55,56,2020-01-01_2020-12-31,HRES,5 days,Pacific
105,63,28,522,0.625,0.21052631578947367,0.5357142857142857,0.7916666666666666,168,133,2020-01-01_2020-12-31,HRES,7 days,EuroAtlantic
29,26,24,639,0.5272727272727272,0.4528301886792453,0.3670886075949367,0.9636363636363636,55,53,2020-01-01_2020-12-31,HRES,7 days,Pacific
161,7,5,557,0.9583333333333334,0.030120481927710843,0.930635838150289,0.9880952380952381,168,166,2020-01-01_2020-12-31,GraphCast,1 days,EuroAtlantic
54,1,3,672,0.9818181818181818,0.05263157894736842,0.9310344827586207,1.0363636363636364,55,57,2020-01-01_2020-12-31,GraphCast,1 days,Pacific
156,12,9,549,0.9285714285714286,0.05454545454545454,0.8813559322033898,0.9821428571428571,168,165,2020-01-01_2020-12-31,GraphCast,3 days,EuroAtlantic
51,4,3,668,0.9272727272727272,0.05555555555555555,0.8793103448275862,0.9818181818181818,55,54,2020-01-01_2020-12-31,GraphCast,3 days,Pacific
134,34,12,542,0.7976190476190477,0.0821917808219178,0.7444444444444445,0.8690476190476191,168,146,2020-01-01_2020-12-31,GraphCast,5 days,EuroAtlantic
38,17,7,660,0.6909090909090909,0.15555555555555556,0.6129032258064516,0.8181818181818182,55,45,2020-01-01_2020-12-31,GraphCast,5 days,Pacific
103,65,34,516,0.6130952380952381,0.24817518248175183,0.5099009900990099,0.8154761904761905,168,137,2020-01-01_2020-12-31,GraphCast,7 days,EuroAtlantic
16,39,21,642,0.2909090909090909,0.5675675675675675,0.21052631578947367,0.6727272727272727,55,37,2020-01-01_2020-12-31,GraphCast,7 days,Pacific
161,7,6,556,0.9583333333333334,0.03592814371257485,0.9252873563218391,0.9940476190476191,168,167,2020-01-01_2020-12-31,NeuralGCM,1 days,EuroAtlantic
54,1,1,674,0.9818181818181818,0.01818181818181818,0.9642857142857143,1.0,55,55,2020-01-01_2020-12-31,NeuralGCM,1 days,Pacific
158,10,9,549,0.9404761904761905,0.05389221556886228,0.8926553672316384,0.9940476190476191,168,167,2020-01-01_2020-12-31,NeuralGCM,3 days,EuroAtlantic
52,3,8,663,0.9454545454545454,0.13333333333333333,0.8253968253968254,1.0909090909090908,55,60,2020-01-01_2020-12-31,NeuralGCM,3 days,Pacific
135,33,18,536,0.8035714285714286,0.11764705882352941,0.7258064516129032,0.9107142857142857,168,153,2020-01-01_2020-12-31,NeuralGCM,5 days,EuroAtlantic
37,18,12,655,0.6727272727272727,0.24489795918367346,0.5522388059701493,0.8909090909090909,55,49,2020-01-01_2020-12-31,NeuralGCM,5 days,Pacific
122,46,39,511,0.7261904761904762,0.2422360248447205,0.5893719806763285,0.9583333333333334,168,161,2020-01-01_2020-12-31,NeuralGCM,7 days,EuroAtlantic
26,29,30,633,0.4727272727272727,0.5357142857142857,0.3058823529411765,1.018181818181818,55,56,2020-01-01_2020-12-31,NeuralGCM,7 days,Pacific
