window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2020-01-01_2020-03-31,z500,HRES,1 days,60.5,1.003291825093842,2150.022694915146
2020-01-01_2020-03-31,z500,HRES,1 days,61.5,1.0309849034456655,1809.1650455157
2020-01-01_2020-03-31,z500,HRES,1 days,62.5,1.0452157224649214,1743.0621639296708
2020-01-01_2020-03-31,z500,HRES,1 days,63.5,1.0431346776491228,1707.2821729781565
2020-01-01_2020-03-31,z500,HRES,1 days,64.5,1.045994496575573,1669.7322343903359
2020-01-01_2020-03-31,z500,HRES,1 days,65.5,1.0519115359259235,1612.5731099144057
2020-01-01_2020-03-31,z500,HRES,1 days,66.5,1.0392518665607533,1607.3221915753704
2020-01-01_2020-03-31,z500,HRES,1 days,67.5,1.0415066132839956,1544.0445938572198
2020-01-01_2020-03-31,z500,HRES,1 days,68.5,1.049765142728621,1524.6453545962172
2020-01-01_2020-03-31,z500,HRES,1 days,69.5,1.0413550324880751,1490.6892843834455
2020-01-01_2020-03-31,z500,HRES,1 days,70.5,1.0459916083357477,1442.200196917841
2020-01-01_2020-03-31,z500,HRES,1 days,71.5,1.0482886261321,1423.3914566446251
2020-01-01_2020-03-31,z500,HRES,1 days,72.5,1.0403941536248817,1382.3605228597926
2020-01-01_2020-03-31,z500,HRES,1 days,73.5,1.0303363156935221,1361.3811165672184
2020-01-01_2020-03-31,z500,HRES,1 days,74.5,1.035449240169941,1330.128893144196
2020-01-01_2020-03-31,z500,HRES,1 days,75.5,1.0332216460916301,1286.4484773539818
2020-01-01_2020-03-31,z500,HRES,1 days,76.5,1.0439454755052535,1277.9761919897219
2020-01-01_2020-03-31,z500,HRES,1 days,77.5,1.0593856692401775,1221.7208305289262
2020-01-01_2020-03-31,z500,HRES,1 days,78.5,1.0468197260870813,1223.798909566165
2020-01-01_2020-03-31,z500,HRES,1 days,79.5,1.038320629257568,1177.6411432010311
2020-01-01_2020-03-31,z500,HRES,1 days,80.5,1.0430625778108598,1170.0376869705972
2020-01-01_2020-03-31,z500,HRES,1 days,81.5,1.041234355535529,1142.059926359023
2020-01-01_2020-03-31,z500,HRES,1 days,82.5,1.0490749034707747,1113.7719054587485
2020-01-01_2020-03-31,z500,HRES,1 days,83.5,1.0558733706181989,1098.4719567192078
2020-01-01_2020-03-31,z500,HRES,1 days,84.5,1.0753268290442621,1064.155304622377
2020-01-01_2020-03-31,z500,HRES,1 days,85.5,1.0649006308840918,1048.7444851089836
2020-01-01_2020-03-31,z500,HRES,1 days,86.5,1.0691623822593297,1025.9176823345324
2020-01-01_2020-03-31,z500,HRES,1 days,87.5,1.0772402179917282,992.987946820075
2020-01-01_2020-03-31,z500,HRES,1 days,88.5,1.0742347852094156,993.7565202861564
2020-01-01_2020-03-31,z500,HRES,1 days,89.5,1.0866412386715902,967.4901919016518
2020-01-01_2020-03-31,z500,HRES,1 days,90.5,1.0800510474687268,941.5326062988831
2020-01-01_2020-03-31,z500,HRES,1 days,91.5,1.0756435636262454,935.1690993408946
2020-01-01_2020-03-31,z500,HRES,1 days,92.5,1.08846868353101,907.0620534612723
2020-01-01_2020-03-31,z500,HRES,1 days,93.5,1.1072131668667322,893.9715678122313
2020-01-01_2020-03-31,z500,HRES,1 days,94.5,1.0935516805369212,873.2776251250359
2020-01-01_2020-03-31,z500,HRES,1 days,95.5,1.1099472566902884,866.307149999197
2020-01-01_2020-03-31,z500,HRES,1 days,96.5,1.1012101000582022,852.3076976924901
2020-01-01_2020-03-31,z500,HRES,1 days,97.5,1.1172649268670118,833.9739946396209
2020-01-01_2020-03-31,z500,HRES,1 days,98.5,1.1047538200036209,825.7925699099798
2020-01-01_2020-03-31,z500,HRES,1 days,99.5,1.1219846327553142,799.4285994925752
2020-01-01_2020-03-31,z500,HRES,1 days,100.5,1.1192723106940081,800.113216809071
2020-01-01_2020-03-31,z500,HRES,1 days,101.5,1.1331138725192489,781.2593851805256
2020-01-01_2020-03-31,z500,HRES,1 days,102.5,1.1388445774263898,764.8019237272995
2020-01-01_2020-03-31,z500,HRES,1 days,103.5,1.1185704297168224,763.7130213532001
2020-01-01_2020-03-31,z500,HRES,1 days,104.5,1.1385043216287474,739.6962025187394
2020-01-01_2020-03-31,z500,HRES,1 days,105.5,1.1370085303662867,739.6794324067592
2020-01-01_2020-03-31,z500,HRES,1 days,106.5,1.1333838005422214,726.5163990433506
2020-01-01_2020-03-31,z500,HRES,1 days,107.5,1.164760578673064,715.253341949897
2020-01-01_2020-03-31,z500,HRES,1 days,108.5,1.1570952110951394,708.6070211391185
2020-01-01_2020-03-31,z500,HRES,1 days,109.5,1.1381848187098431,701.0483520784612
2020-01-01_2020-03-31,z500,HRES,1 days,110.5,1.163376009263464,693.220007231353
2020-01-01_2020-03-31,z500,HRES,1 days,111.5,1.173189575514503,692.0898569716283
2020-01-01_2020-03-31,z500,HRES,1 days,112.5,1.1922541529972892,680.4772113188119
2020-01-01_2020-03-31,z500,HRES,1 days,113.5,1.189189311033377,682.0712481397318
2020-01-01_2020-03-31,z500,HRES,1 days,114.5,1.2063732281621031,667.6619462227552
2020-01-01_2020-03-31,z500,HRES,1 days,115.5,1.1963810439476241,668.1685716279686
2020-01-01_2020-03-31,z500,HRES,1 days,116.5,1.19150902241336,668.2966599686978
2020-01-01_2020-03-31,z500,HRES,1 days,117.5,1.2003061482190371,659.3489035483501
2020-01-01_2020-03-31,z500,HRES,1 days,118.5,1.2057088677492953,657.0312293775501
2020-01-01_2020-03-31,z500,HRES,1 days,119.5,1.1849577668739655,648.7264413094839
2020-01-01_2020-03-31,z500,HRES,1 days,120.5,1.2333078573688774,649.5582219014486
2020-01-01_2020-03-31,z500,HRES,1 days,121.5,1.2253503463861486,600.1045827082141
2020-01-01_2020-03-31,z500,HRES,1 days,122.5,1.2827010711154192,570.4545908839525
2020-01-01_2020-03-31,z500,HRES,1 days,123.5,1.2758416771478893,537.6946804010576
2020-01-01_2020-03-31,z500,HRES,1 days,124.5,1.2852728707221246,529.7927022097939
2020-01-01_2020-03-31,z500,HRES,1 days,125.5,1.3475523668297391,511.33660148164665
2020-01-01_2020-03-31,z500,HRES,1 days,126.5,1.334345996054174,500.1715223468531
2020-01-01_2020-03-31,z500,HRES,1 days,127.5,1.3324024113950392,488.67386951937084
2020-01-01_2020-03-31,z500,HRES,1 days,128.5,1.3240105599790901,475.7467430897129
2020-01-01_2020-03-31,z500,HRES,1 days,129.5,1.3509948517413692,462.9840252535763
2020-01-01_2020-03-31,z500,HRES,1 days,130.5,1.3889704306634418,460.28209350400533
2020-01-01_2020-03-31,z500,HRES,1 days,131.5,1.3259490235776727,455.1582046617114
2020-01-01_2020-03-31,z500,HRES,1 days,132.5,1.3819508411733001,453.2492894849225
2020-01-01_2020-03-31,z500,HRES,1 days,133.5,1.3243959982178033,419.0368880884063
2020-01-01_2020-03-31,z500,HRES,1 days,134.5,1.4888192164878427,410.80342898854013
2020-01-01_2020-03-31,z500,HRES,3 days,0.5,1.1619552542101261,0.03370208760452492
2020-01-01_2020-03-31,z500,HRES,3 days,1.5,0.9808101763262169,524648.4256614038
2020-01-01_2020-03-31,z500,HRES,3 days,2.5,0.9810167169548781,307266.6324141605
2020-01-01_2020-03-31,z500,HRES,3 days,3.5,0.9640043797263201,290967.2708463622
2020-01-01_2020-03-31,z500,HRES,3 days,4.5,0.9715394678085486,267027.8781919446
2020-01-01_2020-03-31,z500,HRES,3 days,5.5,0.9762892904683147,237033.36629948692
2020-01-01_2020-03-31,z500,HRES,3 days,6.5,0.9726835432306031,221508.7193107947
2020-01-01_2020-03-31,z500,HRES,3 days,7.5,0.9710988028776115,193326.78886876247
2020-01-01_2020-03-31,z500,HRES,3 days,8.5,0.9731773479673043,166395.89148055113
2020-01-01_2020-03-31,z500,HRES,3 days,9.5,0.960268352100082,147178.16973413972
2020-01-01_2020-03-31,z500,HRES,3 days,10.5,0.9539815944375013,126167.28169880346
2020-01-01_2020-03-31,z500,HRES,3 days,11.5,0.939539164295943,113339.0454590476
2020-01-01_2020-03-31,z500,HRES,3 days,12.5,0.9727206707084253,96703.7667698359
2020-01-01_2020-03-31,z500,HRES,3 days,13.5,0.963551815669108,83750.55436511879
2020-01-01_2020-03-31,z500,HRES,3 days,14.5,0.9544947435677875,74239.7640529681
2020-01-01_2020-03-31,z500,HRES,3 days,15.5,0.9684575985083052,65993.6163622901
2020-01-01_2020-03-31,z500,HRES,3 days,16.5,0.9841712803375009,59687.48138256557
2020-01-01_2020-03-31,z500,HRES,3 days,17.5,0.9626390675015966,52297.75657259358
2020-01-01_2020-03-31,z500,HRES,3 days,18.5,0.9459885923690162,47047.68452778479
2020-01-01_2020-03-31,z500,HRES,3 days,19.5,0.9451498876477823,43081.33158062983
2020-01-01_2020-03-31,z500,HRES,3 days,20.5,0.9425210291080598,39760.04680622296
2020-01-01_2020-03-31,z500,HRES,3 days,21.5,0.949560203535901,35753.03868076812
2020-01-01_2020-03-31,z500,HRES,3 days,22.5,0.9518622013478506,33022.2001745476
2020-01-01_2020-03-31,z500,HRES,3 days,23.5,0.9472574140593181,30556.910426921746
2020-01-01_2020-03-31,z500,HRES,3 days,24.5,0.947528436985918,27650.59635624854
2020-01-01_2020-03-31,z500,HRES,3 days,25.5,0.96898759837347,25172.601018197547
2020-01-01_2020-03-31,z500,HRES,3 days,26.5,0.9684310529702218,23232.606812263366
2020-01-01_2020-03-31,z500,HRES,3 days,27.5,0.9698539333477966,21806.57429789726
2020-01-01_2020-03-31,z500,HRES,3 days,28.5,0.9780468817196217,20323.7473368421
2020-01-01_2020-03-31,z500,HRES,3 days,29.5,0.9656666486634133,18327.114443196464
2020-01-01_2020-03-31,z500,HRES,3 days,30.5,0.9521801564551373,17278.0611862872
2020-01-01_2020-03-31,z500,HRES,3 days,31.5,0.955839082824302,15928.057382591274
2020-01-01_2020-03-31,z500,HRES,3 days,32.5,0.9608878245202039,15076.044428755511
2020-01-01_2020-03-31,z500,HRES,3 days,33.5,0.9716271601308386,14061.090884288906
2020-01-01_2020-03-31,z500,HRES,3 days,34.5,0.9685298824737779,13097.995215656114
2020-01-01_2020-03-31,z500,HRES,3 days,35.5,0.9604548914060528,12417.755937668851
2020-01-01_2020-03-31,z500,HRES,3 days,36.5,0.9690859309946481,11545.596123022042
2020-01-01_2020-03-31,z500,HRES,3 days,37.5,0.9794150937185352,10939.244551457761
2020-01-01_2020-03-31,z500,HRES,3 days,38.5,0.9826549320132834,10083.995935508518
2020-01-01_2020-03-31,z500,HRES,3 days,39.5,0.977585098815521,9546.112808520369
2020-01-01_2020-03-31,z500,HRES,3 days,40.5,0.969132211318563,9149.659080764295
2020-01-01_2020-03-31,z500,HRES,3 days,41.5,0.9718855433768434,8511.064703481972
2020-01-01_2020-03-31,z500,HRES,3 days,42.5,0.9744583253807453,8131.890864541726
2020-01-01_2020-03-31,z500,HRES,3 days,43.5,0.9765119842411556,7553.941238819328
2020-01-01_2020-03-31,z500,HRES,3 days,44.5,0.9749080561703329,7328.514407259034
2020-01-01_2020-03-31,z500,HRES,3 days,45.5,0.9835995871239513,7051.522903941525
2020-01-01_2020-03-31,z500,HRES,3 days,46.5,0.9922042839014125,6599.580351106322
