hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
40,0,1,141,1.0,0.024390243902439025,0.975609756097561,1.025,40,41,2022-06-01_2022-08-31,HRES,1 days,EuroAtlantic
29,2,0,151,0.9354838709677419,0.0,0.9354838709677419,0.9354838709677419,31,29,2022-06-01_2022-08-31,HRES,1 days,Pacific
39,1,1,137,0.975,0.025,0.9512195121951219,1.0,40,40,2022-06-01_2022-08-31,HRES,3 days,EuroAtlantic
23,4,1,150,0.8518518518518519,0.041666666666666664,0.8214285714285714,0.8888888888888888,27,24,2022-06-01_2022-08-31,HRES,3 days,Pacific
32,8,5,129,0.8,0.13513513513513514,0.7111111111111111,0.925,40,37,2022-06-01_2022-08-31,HRES,5 days,EuroAtlantic
21,4,5,144,0.84,0.19230769230769232,0.7,1.04,25,26,2022-06-01_2022-08-31,HRES,5 days,Pacific
21,19,13,117,0.525,0.38235294117647056,0.39622641509433965,0.85,40,34,2022-06-01_2022-08-31,HRES,7 days,EuroAtlantic
16,9,5,140,0.64,0.23809523809523808,0.5333333333333333,0.84,25,21,2022-06-01_2022-08-31,HRES,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,GraphCast,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,GraphCast,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,GraphCast,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,GraphCast,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,GraphCast,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,GraphCast,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,GraphCast,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,GraphCast,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,NeuralGCM,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,NeuralGCM,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,NeuralGCM,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,NeuralGCM,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,NeuralGCM,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,NeuralGCM,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,NeuralGCM,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-06-01_2022-08-31,NeuralGCM,7 days,Pacific
