window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2018-01-01_2018-12-31,HRES,1 days,0.02,385,0.5288461538461539
2018-01-01_2018-12-31,HRES,1 days,0.05,331,0.45467032967032966
2018-01-01_2018-12-31,HRES,1 days,0.1,241,0.33104395604395603
2018-01-01_2018-12-31,HRES,1 days,0.2,109,0.14972527472527472
2018-01-01_2018-12-31,HRES,1 days,0.5,1,0.0013736263736263737
2018-01-01_2018-12-31,HRES,3 days,0.02,381,0.5262430939226519
2018-01-01_2018-12-31,HRES,3 days,0.05,327,0.4516574585635359
2018-01-01_2018-12-31,HRES,3 days,0.1,239,0.3301104972375691
2018-01-01_2018-12-31,HRES,3 days,0.2,109,0.1505524861878453
2018-01-01_2018-12-31,HRES,3 days,0.5,1,0.0013812154696132596
2018-01-01_2018-12-31,HRES,5 days,0.02,379,0.5263888888888889
2018-01-01_2018-12-31,HRES,5 days,0.05,326,0.4527777777777778
2018-01-01_2018-12-31,HRES,5 days,0.1,239,0.33194444444444443
2018-01-01_2018-12-31,HRES,5 days,0.2,109,0.15138888888888888
2018-01-01_2018-12-31,HRES,5 days,0.5,1,0.001388888888888889
2018-01-01_2018-12-31,HRES,7 days,0.02,376,0.5251396648044693
2018-01-01_2018-12-31,HRES,7 days,0.05,323,0.4511173184357542
2018-01-01_2018-12-31,HRES,7 days,0.1,237,0.33100558659217877
2018-01-01_2018-12-31,HRES,7 days,0.2,109,0.15223463687150837
2018-01-01_2018-12-31,HRES,7 days,0.5,1,0.0013966480446927375
2018-01-01_2018-12-31,GraphCast,1 days,0.02,0,
2018-01-01_2018-12-31,GraphCast,1 days,0.05,0,
2018-01-01_2018-12-31,GraphCast,1 days,0.1,0,
2018-01-01_2018-12-31,GraphCast,1 days,0.2,0,
2018-01-01_2018-12-31,GraphCast,1 days,0.5,0,
2018-01-01_2018-12-31,GraphCast,3 days,0.02,0,
2018-01-01_2018-12-31,GraphCast,3 days,0.05,0,
2018-01-01_2018-12-31,GraphCast,3 days,0.1,0,
2018-01-01_2018-12-31,GraphCast,3 days,0.2,0,
2018-01-01_2018-12-31,GraphCast,3 days,0.5,0,
2018-01-01_2018-12-31,GraphCast,5 days,0.02,0,
2018-01-01_2018-12-31,GraphCast,5 days,0.05,0,
2018-01-01_2018-12-31,GraphCast,5 days,0.1,0,
2018-01-01_2018-12-31,GraphCast,5 days,0.2,0,
2018-01-01_2018-12-31,GraphCast,5 days,0.5,0,
2018-01-01_2018-12-31,GraphCast,7 days,0.02,0,
2018-01-01_2018-12-31,GraphCast,7 days,0.05,0,
2018-01-01_2018-12-31,GraphCast,7 days,0.1,0,
2018-01-01_2018-12-31,GraphCast,7 days,0.2,0,
2018-01-01_2018-12-31,GraphCast,7 days,0.5,0,
2018-01-01_2018-12-31,NeuralGCM,1 days,0.02,0,
2018-01-01_2018-12-31,NeuralGCM,1 days,0.05,0,
2018-01-01_2018-12-31,NeuralGCM,1 days,0.1,0,
2018-01-01_2018-12-31,NeuralGCM,1 days,0.2,0,
2018-01-01_2018-12-31,NeuralGCM,1 days,0.5,0,
2018-01-01_2018-12-31,NeuralGCM,3 days,0.02,0,
2018-01-01_2018-12-31,NeuralGCM,3 days,0.05,0,
2018-01-01_2018-12-31,NeuralGCM,3 days,0.1,0,
2018-01-01_2018-12-31,NeuralGCM,3 days,0.2,0,
2018-01-01_2018-12-31,NeuralGCM,3 days,0.5,0,
2018-01-01_2018-12-31,NeuralGCM,5 days,0.02,0,
2018-01-01_2018-12-31,NeuralGCM,5 days,0.05,0,
2018-01-01_2018-12-31,NeuralGCM,5 days,0.1,0,
2018-01-01_2018-12-31,NeuralGCM,5 days,0.2,0,
2018-01-01_2018-12-31,NeuralGCM,5 days,0.5,0,
2018-01-01_2018-12-31,NeuralGCM,7 days,0.02,0,
2018-01-01_2018-12-31,NeuralGCM,7 days,0.05,0,
2018-01-01_2018-12-31,NeuralGCM,7 days,0.1,0,
2018-01-01_2018-12-31,NeuralGCM,7 days,0.2,0,
2018-01-01_2018-12-31,NeuralGCM,7 days,0.5,0,
