window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2018-01-01_2018-12-31,HRES,1 days,50.13077123490168,48.854746195547605,241,487
2018-01-01_2018-12-31,HRES,3 days,148.1292065072683,145.12838168766092,239,485
2018-01-01_2018-12-31,HRES,5 days,327.19004733912635,316.38278065761966,239,481
2018-01-01_2018-12-31,HRES,7 days,546.9697082013079,531.6796984216423,237,479
2018-01-01_2018-12-31,GraphCast,1 days,,,0,0
2018-01-01_2018-12-31,GraphCast,3 days,,,0,0
2018-01-01_2018-12-31,GraphCast,5 days,,,0,0
2018-01-01_2018-12-31,GraphCast,7 days,,,0,0
2018-01-01_2018-12-31,NeuralGCM,1 days,,,0,0
2018-01-01_2018-12-31,NeuralGCM,3 days,,,0,0
2018-01-01_2018-12-31,NeuralGCM,5 days,,,0,0
2018-01-01_2018-12-31,NeuralGCM,7 days,,,0,0
